,Forum,Thread_Title,URL,Timestamp,Username,Subscription_Date,Num_Messages,Quote,Text,Engine,Brand,Exterior,Support
0,Quattroruote,Porsche 911/992,https://forum.quattroruote.it/threads/porsche-911-992.111443/,19-07-2017 01:26:00,pilota54,03-04-2009 02:01:04,27619.0,,"Stanno circolando sul web le prime immagini dinamiche dei ""muletti"" della Porsche 992, attesa per il 2019. Motori sempre turbo ed estetica a quanto si dice sempre ""stile 911"", ma con variazioni più significative rispetto al passato (non il motore centrale). La versione ibrida sembra sia stata purtroppo definitivamente rimandata. L'articolo di Quattroruote.it: http://www.quattroruote.it/news/foto_spia/2017/07/03/porsche_911_foto_spia_test.html .......Con sbirciatina al cruscotto: E un rendering forse un po' fantasioso: <img alt=""[​IMG]"" class=""bbCodeImage LbImage"" data-url=""http://statics.quattroruote.it/content/dam/quattroruote/it/news/foto_spia/2017/07/03/porsche_911_foto_spia_test/gallery/rbig/2017-Porsche-911-2.jpg"" src=""http://statics.quattroruote.it/content/dam/quattroruote/it/news/foto_spia/2017/07/03/porsche_911_foto_spia_test/gallery/rbig/2017-Porsche-911-2.jpg""/>
<img alt=""[​IMG]"" class=""bbCodeImage LbImage"" data-url=""https://s1.cdn.autoevolution.com/images/news/gallery/next-generation-2019-porsche-911-rendering-seems-accurate-based-on-the-spyshots_1.jpg"" src=""https://s1.cdn.autoevolution.com/images/news/gallery/next-generation-2019-porsche-911-rendering-seems-accurate-based-on-the-spyshots_1.jpg""/>
<img alt=""[​IMG]"" class=""bbCodeImage LbImage"" data-url=""https://s1.cdn.autoevolution.com/images/news/gallery/next-generation-2019-porsche-911-rendering-seems-accurate-based-on-the-spyshots_2.jpg"" src=""https://s1.cdn.autoevolution.com/images/news/gallery/next-generation-2019-porsche-911-rendering-seems-accurate-based-on-the-spyshots_2.jpg""/>
",neutro,neutro,irrilevante,irrilevante
1,Quattroruote,Porsche 911/992,https://forum.quattroruote.it/threads/porsche-911-992.111443/,10-04-2018 18:06:00,pilota54,03-04-2009 02:01:04,27619.0,,"Dovrebbe essere presentata entro l'anno la Porsche 911 992, ormai pressochè pronta. Questa la prima immagine ""ufficiosa"", datata febbraio 2018. Potenza di base: circa 400 cv. Motori probabilmente anche ibridi. <img alt=""[​IMG]"" class=""bbCodeImage LbImage"" data-url=""https://immagini.alvolante.it/sites/default/files/styles/anteprima_lunghezza_640/public/news_anteprima/2018/02/porsche-911-992-spy-2018-02.jpg"" src=""https://immagini.alvolante.it/sites/default/files/styles/anteprima_lunghezza_640/public/news_anteprima/2018/02/porsche-911-992-spy-2018-02.jpg""/>
",neutro,irrilevante,irrilevante,irrilevante
2,Quattroruote,Porsche 911/992,https://forum.quattroruote.it/threads/porsche-911-992.111443/,11-04-2018 20:16:00,Mastertanto,01-04-2009 03:16:07,3613.0,"'Dovrebbe essere presentata entro l\'anno la Porsche 911 992 ormai pressochè pronta Questa la prima immagine ""ufficiosa"" datata febbraio 2018 Potenza di base: circa 400 cv Motori probabilmente anche ibridi ' 'Dovrebbe essere presentata entro l\'anno la Porsche 911 992 ormai pressochè pronta Questa la prima immagine ""ufficiosa"" datata febbraio 2018 Potenza di base: circa 400 cv Motori probabilmente anche ibridi '","A me va benissimo. E mantiene il vecchio, caro (e ormai raro) cambio manuale. . ",neutro,irrilevante,irrilevante,irrilevante
3,Quattroruote,Porsche 911/992,https://forum.quattroruote.it/threads/porsche-911-992.111443/,11-04-2018 20:27:00,Mastertanto,01-04-2009 03:16:07,3613.0,' ma con variazioni più significative rispetto al passato non il motore centrale',"Per fortuna. Perché quello sarebbe un po' svendere l'anima della 911, la sua caratteristica unica al mondo. E che ha la sua bella importanza nel mantenere aderenti a terra le ruote motrici : lo so ben io, che dispongo di molta potenza ma non di un'aderenza adeguata nelle marce basse, per cui basta uscire da una rotonda in 2a accelerando con un po' di decisione per sentire microscodate varie, con relativa spia del controllo trazione che folleggia. . ",positivo,irrilevante,irrilevante,irrilevante
4,Quattroruote,Porsche 911/992,https://forum.quattroruote.it/threads/porsche-911-992.111443/,12-04-2018 00:50:00,pilota54,03-04-2009 02:01:04,27619.0,,"Si, sulla 911 di serie il motore centrale non lo metteranno mai. Lo hanno messo su quella da corsa, ma là evidentemente era diventato un imperativo categorico se si voleva restare competitivi. ",neutro,negativo,irrilevante,irrilevante
5,Quattroruote,Porsche 911/992,https://forum.quattroruote.it/threads/porsche-911-992.111443/,19-04-2018 14:03:00,pilota54,03-04-2009 02:01:04,27619.0,,"Proseguono i test al ""Ring"" della 992, in particolare la turbo. https://www.quattroruote.it/news/foto_spia/2018/04/19/porsche_911_turbo_nuovi_test_per_la_992.html ",irrilevante,irrilevante,irrilevante,irrilevante
6,Quattroruote,Porsche 911/992,https://forum.quattroruote.it/threads/porsche-911-992.111443/,25-06-2018 18:09:00,pilota54,03-04-2009 02:01:04,27619.0,,"Ancora test al ""Ring"" per l'attesa Porsche 911-992. https://www.quattroruote.it/news/foto_spia/2018/06/25/porsche_911_foto_spia_test.html La parte posteriore non mi convince. Speriamo che non sia così. <img alt=""[​IMG]"" class=""bbCodeImage LbImage"" data-url=""https://statics.quattroruote.it/content/dam/quattroruote/it/news/foto_spia/2018/06/25/porsche_911_foto_spia_test/gallery/rsmall/2018-Porsche-911-9.jpg"" src=""https://statics.quattroruote.it/content/dam/quattroruote/it/news/foto_spia/2018/06/25/porsche_911_foto_spia_test/gallery/rsmall/2018-Porsche-911-9.jpg""/>
<img alt=""[​IMG]"" class=""bbCodeImage LbImage"" data-url=""https://statics.quattroruote.it/content/dam/quattroruote/it/news/foto_spia/2018/06/25/porsche_911_foto_spia_test/gallery/rsmall/2018-Porsche-911-11.jpg"" src=""https://statics.quattroruote.it/content/dam/quattroruote/it/news/foto_spia/2018/06/25/porsche_911_foto_spia_test/gallery/rsmall/2018-Porsche-911-11.jpg""/>
",irrilevante,irrilevante,irrilevante,irrilevante
7,Quattroruote,Porsche 911/992,https://forum.quattroruote.it/threads/porsche-911-992.111443/,7-07-2018 11:43:00,Mastertanto,01-04-2009 03:16:07,3613.0,"'Ancora test al ""Ring"" per l\'attesa Porsche 911-992 https://wwwquattroruoteit/news/foto_spia/2018/06/25/porsche_911_foto_spia_testhtml La parte posteriore non mi convince Speriamo che non sia così '","Io sono convinto che in ogni caso difficilmente troverò brutta una 911... sì, la 996 non mi faceva impazzire, ma sono passati vent'anni e sanno bene, con tutti gli studi di marketing ecc. che fanno, cosa piace e cosa non piace agli acquirenti. A me comunque poco interessano le anticipazioni e simili... a che diavolo servono, a togliersi il piacere della sorpresa ? quando ci sarà la 992 la vedremo. L'essenziale è che permanga lo ""spirito"" della 911 : che, se solo ci si pensa un momento, è l'unica cosa davvero tramandata nei 55 anni dalla presentazione del primo modello di 911. Gli oggetti e le idee che resistono al tempo diventano (come diceva la pubblicità di un liquore, secoli fa) tradizione : ed a me di solito piacciono, significa che già quando sono stati concepiti avevano una scintilla di originalità e di genialità, come certe opere d'arte. Io la 911 la vedo proprio così, come portatrice di una scintilla di genialità : dire che è un'icona è ancora poco, tant'è vero che alle sue forme sono ispirati altri modelli di successo, dalla Cayman/Boxster alla Panamera e persino la Macan, se vogliamo. Ma, ahimé, non è che l'uscita di un nuovo modello di 911 significherà una svalutazione dell'usato precedente, come invece succede per tante altre auto.... altrimenti una 911/991 3.0 turbo me la comprerei al volo ! . ",irrilevante,positivo,positivo,irrilevante
8,Quattroruote,Porsche 911/992,https://forum.quattroruote.it/threads/porsche-911-992.111443/,7-07-2018 11:58:00,pilota54,03-04-2009 02:01:04,27619.0,,Ame della 911 (le versioni aspirate) quello che mi fa impazzire di più è il sound. Esempio: Ogni tanto lo ascolto come se fosse un CD. ,positivo,irrilevante,irrilevante,irrilevante
9,Quattroruote,Porsche 911/992,https://forum.quattroruote.it/threads/porsche-911-992.111443/,7-07-2018 15:30:00,LA MAGA,18-05-2018 23:35:16,1116.0,,chissà se ce la faranno a mettere il navigatore di serie su una macchina che sfonda i 100.000 euro ,irrilevante,irrilevante,irrilevante,irrilevante
10,Quattroruote,Porsche 911/992,https://forum.quattroruote.it/threads/porsche-911-992.111443/,7-07-2018 16:23:00,Mastertanto,01-04-2009 03:16:07,3613.0,'Ame della 911 le versioni aspirate quello che mi fa impazzire di più è il sound Esempio: Ogni tanto lo ascolto come se fosse un CD',"Bellissimo, senz'altro. Però non è che possa scegliere una macchina in funzione del sound, anche perché quello che conta è la guida e quindi quello che senti DENTRO, che non coincide con quello che si sente da FUORI. A questo proposito, posso dire di aver sentito il ""sound"" esterno della M6 solo quest'anno, dopo quasi 7 anni che ce l'ho... so che può sembrare assurdo e quasi imbarazzante, ma così è stato : sono andato a trovare un amico che si era operato ed al ritorno c'era con me anche suo figlio, trentenne e molto appassionato di motori in mezzo ai quali è nato, praticamente : Porsche, moto, go-kart..... parlavamo appunto del ""sound"" e della riconoscibilità da questo delle diverse tipologie di motori sportivi come i V6 e 6 in linea, i V8, V12 o V10 come appunto quello della mia M6, e m'è venuto in mente che io mai avevo sentito la ""vera"" voce di questa da dove la si deve sentire, cioè da dietro. Beh, posso dire che è stata un'emozione... ricorda la ""voce"" dei 12 cilindri, ma leggermente più roca e tendente verso quella degli 8 cilindri, come è normale. Ma è una normalità che per me è stata una sorpresa, una scoperta : prima l'avevo sentita solo dall'interno - e non è la stessa cosa - o dall'esterno solo al minimo, mentre quando sale di giri è una mezza frustata acustica, fa venire in mente i Ferrari. Comunque la voce più bella che abbia mai sentito, emozionante sul serio, era quella di un altro V10 : il motore della Mirage GT, elaborazione fatta da Gemballa partendo dalla Porsche Carrera GT (eh sì, c'è chi non si ""accontenta"" neppure di quella... ) sentita al Top Marques di Montecarlo. Saliva e scendeva di giri come una frusta, lasciandoti i brividi, davvero e fisici, nella schiena... mai sentito un altro rumore così bello, neppure dai motori da corsa. . ",positivo,irrilevante,irrilevante,irrilevante
