Titolo;URL;Timestamp;User;(Testo Citato);TESTO;Costruttore;Modello;Sentiment;Brand;Interni;Esterni;Meccanica;Prestazioni;Consumi/Autonomia;Motore;Elettrico;Fuoristrada;Elettronica di Bordo;Manutenzione;Assistenza/Concessionari
Fiat Punto EVO (Topic Ufficiale - 2009);https://www.autopareri.com/forums/topic/34839-fiat-punto-evo-topic-ufficiale-2009?&page=235#comments;07/06/2010 11:37;Betha23;;Scusami uan cosa....... ma guarda che il Gpl consuma molto più del benzina....... fare 10 al litro con un Gpl 1.4 77cv non è niente di strano ! ( mio fratello fa i i 7 col 120tjet ! ) ;Fiat;Punto;neutro;;;;;;neutro;neutro;;;;;
QASHQAI 1.6 BENZINA;https://forum.quattroruote.it/threads/qashqai-1-6-benzina.90143/;15/08/2014 00:00;power matt;;Ciao a tutti. Ho letto da qualche parte che a breve dovrebbe uscire il 1.6 da 150 cv. Qualcuno sa quando succederà ? ? ? ;Nissan;Quashqai;neutro;;;;;;;neutro;;;;;
Provocazione...;http://www.porschemania.it/discus/messages/22971/746520.html?1437219435;17/07/2015 18:55;marcopr;;Sembra proprio che ti tenessi dentro questo sfogo gi\xe0 da tempo...e ora non ce l'hai fatta pi\xf9 ! Bhe io non sono proprio la persona adatta a scatenare l'inferno sono d'accordo su tutto.;;;negativo;;;;;;;;;;;;
gpl della casa;https://forum.quattroruote.it/threads/gpl-della-casa.108055/;09/01/2017 00:00;gio9761;;Buon giorno desideravo conoscere come sono le valvole ed eventualmente la loro sede sui motori delle auto vendute a gpl. Grazie ;;;neutro;;;;;;;neutro;;;;;
Alfa Romeo 159 M.Y. 2011 [Sedan Wagon];https://www.autopareri.com/forums/topic/38285-alfa-romeo-159-my-2011-sedan-wagon?&page=130#comments;13/05/2010 19:05;loric;;Giusto ho fatto una domanda scema ;Alfa Romeo;159;neutro;;;;;;;;;;;;
Dubbio su acquisto: Sandero o Grande Punto?;https://forum.quattroruote.it/threads/dubbio-su-acquisto-sandero-o-grande-punto.50888/;25/05/2011 00:00;_Ulisse_;"Dacia Sandero 1.2 ambiance con clima e radio a 9.270 euro versus Grande Punto 1.2 actual euro 5 s&s - 5 posti con clima e radio a 9.500 euro e ritiro dell'usato. Da un lat penso che la Sandero sia òeggermente più spaziosa e offra più potenza; dall'altr temo per la scarsa qualità degli interni (quanto dureranno?) e per i problemi che possono emergere relativamente all'assistenza (con pezzi di ricambio ch a quanto si legge in gir possono impiegare anche giorni ad arrivare).... ciao e benvenuto.. hai scelto due auto ormai molto collaudate. dal punto di vista qualitativo sono perfettamente paragonabil perchè la punto actual è ridotta all'oss e la sandero non brilla per i materiali di lusso. entrambe hanno plastiche economich quindi c'è poco da girarci intorno. l'estetica e la guidabilità sono forse le differenze più grand anche se con i pochi cavalli e il maggior peso della punto non c'è da divertirsi. due utilitarie da usare con tranquillità. la dacia più spaziosa e versatile. l'assistenza è perfettamente paragonabile. e anche il reperimento dei ricambi. in 25 anni di renault non ho mai dovuto attendere i pezzi. li ho sempre trovati originali o di sottomarca senza problem e reperiti in massimo una giornata. (cosa che non è accaduta con la fiat brava di mio padr che aspetta la guarnizione di un finestrino da oltre 4 ann ormai c'ha rinunciato ) direi che la scelta conviene farla sul prezz sulla garanzia offerta e sull'estetica. provale entramb è un consiglio. buona scelta e facci sapere ""Dacia Sandero 1.2 ambiance con clima e radio a 9.270 euro versus Grande Punto 1.2 actual euro 5 s&s - 5 posti con clima e radio a 9.500 euro e ritiro dell'usato. Da un lat penso che la Sandero sia òeggermente più spaziosa e offra più potenza; dall'altr temo per la scarsa qualità degli interni (quanto dureranno?) e per i problemi che possono emergere relativamente all'assistenza (con pezzi di ricambio ch a quanto si legge in gir possono impiegare anche giorni ad arrivare).""";L'analisi è ottima però hai tralasciato il fattore sicurezza che secondo me è molto imèportante la gp al contrario della sandero ha avuto 5 stelle Euroncap ;Fiat;Grande Punto;positivo;positivo;;;;;;;;;;;
S-CROSS 1.4 BOOSTERJET 4X4 TOP;https://forum.quattroruote.it/threads/s-cross-1-4-boosterjet-4x4-top.110191/;24/05/2017 00:00;giulio240172;;Ritirata da qualche giorno. Rossa. Molto bella ci piace parecchio. Ha veramente di tutto e di più. Abbiamo aggiunto come accessori ufficiali lo spoiler il kit fumatori e l'upgrade delle casse audio anteriori. Che dire : ottime impressioni dal motore confortevole....insomma tutto come da attese Le casse audio anche quelle più potenti non sono un granchè ma ...ce le facciamo bastare. Per ora Mentre il navigatore non riconosce quasi mai i comandi audio...ma per il resto funziona molto bene veloce e preciso ;Suzuki;S-Cross;positivo;;;positivo;;;;positivo;;;positivo;;
Officine Bmw Bologna;https://www.bmwpassion.com/forum/threads/officine-bmw-bologna.59504/;07/12/2007 00:00;Cesco m3;;Ma oltre Autovanti a Bologna da chi si può andare ? ? ho chiesto un pò in giro e sembra che le bmw le trattino solo in concessionaria..... ;BMW;;negativo;negativo;;;;;;;;;;;neutro
Ma ne vogliamo parlare??;https://forum.quattroruote.it/threads/ma-ne-vogliamo-parlare.86308/;14/02/2014 00:00;TyRoc;;Seat nel 2013 ha segnato col segno + in quasi ogni stato europeo e non soltanto con la Leon 5 porte ( e si quasi la metà delle vendite sono sue ) nel 2014 si aspettano ancora meglio considerando il fatto che si è aggiunta la SC e la ST http://www.motorioggi.it/2014/02/03/seat-e-in-continua-crescita/ ;Seat;;positivo;molto positivo;;;;;;;;;;;
New Clio [70 o 85 cv]?;https://www.autopareri.com/forums/topic/23325-new-clio-70-o-85-cv;06/05/2007 08:57;TonyH;;Quanti km fai all'anno ? ;Renault;Clio;neutro;;;;;;;;;;;;
