Titolo;URL;Timestamp;User;(Testo Citato);TESTO;Costruttore;Modello;Sentiment;Brand;Interni;Esterni;Meccanica;Prestazioni;Consumi/Autonomia;Motore;Elettrico;Fuoristrada;Elettronica di Bordo;Manutenzione;Assistenza/Concessionari
Ford Focus II ST Restyling (Topic Ufficiale - 2007);https://www.autopareri.com/forums/topic/25694-ford-focus-ii-st-restyling-topic-ufficiale-2007;28/10/2007 14:17;brothersfan;;mah sinceramente il frontale aggiornato è veramente triste....sembra che la macchina stia piangendo ! ;Ford;Focus II ST;negativo;;;negativo;;;;;;;;;
Audi RS5 2017;https://www.autopareri.com/forums/topic/62820-audi-rs5-2017;07/03/2017 09:42;alfagtv;;Ma è la arteon coupe ! ! comunque mi piace cosi conciata ! i cerchi sono da 25 ? ;Audi;RS5;positivo;;;positivo;;;;;;;;;
Alfa Romeo MiTo (Topic Ufficiale - 2008);https://www.autopareri.com/forums/topic/27704-alfa-romeo-mito-topic-ufficiale-2008?&page=763#comments;28/08/2008 12:18;Toyboy;;nn ho capito . ;Alfa Romeo;MiTo;neutro;;;;;;;;;;;;
Turbina motore 1.9dCi anno 2004 su Scenic II;https://forum.quattroruote.it/threads/turbina-motore-1-9dci-anno-2004-su-scenic-ii.30659/page-3;28/05/2010 00:00;nomadi86xp;ahhhhhhh ora ho capito grazie nn lo sapevo sei un mito! quindi se nel caso grattandomi i @@ accosto metto in 5 marcia freno forte comrpeso di freno a mano e alzo la frizione pian piano ... N se premi la frizione hai vanificato quanto detto poc'anzi. Cosa succede se tu stai in terza marci non scali e freni di colpo senza premere la frizione? Spegni tutto. Giusto? Devi fare esattamente questo. Nell'eventualità che il motore turbosovralimento vada in autocombustion devi fare quanto descritto da modus72. Inserisci la marcia più alt V o VI che si e frena con il PEDALE e non con il freno a mano!!!! La macchina strattonerà quando scenderai sotto gli 800rpm....devi continuare a fare ciò finchè non si spegnerà del tutto. Se premi la frizion il motore salirà di gir e continuerai a fare la frittata!!!! QUINDI MAI PREMERE LA FRIZIONE!!! p.s. il motore a ciclo diese va in autocombustion perchè la miscela esplode con la presenza di gasolio e aria. Al posto del gasolio cio sarà l'olio del motore.... In un motore a ciclo ott invec poichè è ad accensione comandat ovvero dettata dall'accensione delle candel esso si spegnerà quando girerai la chiav visto che non arriverà più corrente alle candele stesse 'ahhhhhhh ora ho capito grazie nn lo sapevo sei un mito! quindi se nel caso grattandomi i @@ accosto metto in 5 marcia freno forte comrpeso di freno a mano e alzo la frizione pian piano ';Ora ho capito ma che brutta cosa per la nostra auto xò ;Renault;Scenic II;negativo;;;;;negativo;;negativo;;;;;
chissà quanti fregati;https://www.bmwpassion.com/forum/threads/chiss%C3%A0-quanti-fregati.136476/;19/04/2009 00:00;BMWX6;'no comment';"esperienza con la E36:temperatura al massimo acqua in ebollizione.prima officina non bmw: testata guarnizione sostituzione tubi radiatori ventole pompa termostato ecc : spesa prevista 1500-2000€.seconda officina rete bmw: prima fanno un preventivo di 890€ esclusa manodopera poi il meccanico ci ripensa e mi dice ""no ma è inutile bisogna cambiare il motore perché quando lo apriamo non sappiamo cosa troviamo""per un costo variabile tra i 1000€ solo motore e usato ( che poi poteva pure essere peggio ) e intorno ai 5000€ originale nuovo. ( e che ci trovi i criceti che girano ? ) mia testa: radiatore su ebay a 120€ invece dei 350€ della bmw pompa acqua ( 70€ ) e termostato ( 35€ ) originali con il meccanico bmw che continuava a dire ""ma quì spendiamo soldi inutilmente...""come nuova ! e ho pure constatato che nella fattura non risulta l'antigelo infatti è al minimo...mah ! coem fai a dimenticarti l'antigelo quando cambi un radiatore...secondo caso di tentata truffa/totale incompetenza:M6 rumore dal posteriore in curva a freddo nelle vie strette in cittàsentenza dell'officina bmw: ammortizzatori ponte bulloni traversa....chi più ne ha più ne metta...per un toto di 5000€ esclusa manodopera mia testa: differenziale nuovo normalmente in garanziarumore scomparso ! ! ! dubbioso chiedo se con il differenziale nuovo bisogna sostituire l'olio dopo 3000km come da nuova....non sanno nulla....passati 7000km il rumore si è ripresentato ! ! ! vedremo come hanno intenzione di risolvere stavolta ! se fossi totalmente ignorante in materia avrei speso nel complesso tra e36 ed m6 tra i 9000 e i 12000€ ! ! ! invece ho speso 400€....pura truffa o totale ignoranza ? ? nel primo caso anche l'officina non bmw riteneva fosse un problema del motore.mi chiedo ogni giorno quanti casi del genere accadono in italia. e chissà quanti poveretti a buttare soldi quando basterebbe 1/10 della spesa preventivata. ";BMW;;negativo;;;;;;;;;;;molto negativo;
Ferrari EnzoLamborghini Murciélago e Porsche Carrera GT;https://www.autopareri.com/forums/topic/14093-ferrari-enzolamborghini-murci%C3%A9lago-e-porsche-carrera-gt?&page=15#comments;15/11/2005 20:33;fuzz77;;ora è tutto chiaro complimenti per la competenza ;Ferrari, Lamborghini, Porsche;Lamborghini Murciélago, Porsche Carrera GT;positivo;;;;;;;;;;;;positivo
Nuova Ypsilon: AVARIA ESP;https://www.autopareri.com/forums/topic/8235-nuova-ypsilon-avaria-esp;24/07/2004 17:15;Autodelta85;;ma tira via il fusibile di quel robo completamente inutile ! ;Lancia; Ypsilon;negativo;;;;;;;;negativo;;;;
Lancia Thema 2011;https://www.autopareri.com/forums/topic/41888-lancia-thema-2011?&page=91#comments;01/09/2011 15:30;Matteo B.;;in Italia per me le versioni citate da te fanno il 70% delle vendite IMHO. in effetti thema senza Multijet da 170 cv è una bella cazzata.. ;Lancia;Thema;negativo;;;;;;;negativo;;;;;
Mercato piloti 2019;https://forum.quattroruote.it/threads/mercato-piloti-2019.117799/page-21;12/09/2018 00:00;pilota54;;"Comunque dopo questi clamorosi cambi di casacca la domanda è: ""Leclerc sarà un Hamilton 2007 ? "" Il curriculum pre-F.1 del monegasco non è molto diverso da quello dell'anglo-caraibico. Sostanzialmente hanno vinto gli stessi campionati prima di approdare in F.1 e con la stessa autorevolezza. Secondo me potrà esserlo. ";;;neutro;;;;;;;;;;;;
SEAT IBIZA SC 1.2 TDI. IN AGGIORNAMENTO: Guasto sistema ricircolo gas 384 euro!;https://forum.quattroruote.it/threads/seat-ibiza-sc-1-2-tdi-in-aggiornamento-guasto-sistema-ricircolo-gas-384-euro.38088/page-14;04/02/2011 00:00;gabrielelucio;"""i post lì avevo lett ma visto ke alcuni erano di qualke tempo f allora ho preferito chiederti di nuovo.. grazie.. l'ho presa grigio luna.. ho aggiunto il drive pack e la radio.. spero arrivi presto.. sono impaziente.. grazie ancora buona giornata""";Hai fatto benissimo a mettere il drive pack.. è comodissimo soprattutto i fendinebbia con la funzione cornering sono comodissimi la notte. La radio io non l'ho presa perchè mi sembravano troppi 300 euro.. Mi piace molto il colore ! ! Torna qui mi raccomando così almeno potremo scambiarci opinioni ! Buon pomeriggio ! ! ! ;SEAT;Ibiza SC 1.2 TDI;positivo;;;positivo;positivo;;;;;;positivo;;
