Titolo;URL;Timestamp;User;(Testo Citato);TESTO;Costruttore;Modello;Sentiment;Brand;Interni;Esterni;Meccanica;Prestazioni;Consumi/Autonomia;Motore;Elettrico;Fuoristrada;Elettronica di Bordo;Manutenzione;Assistenza/Concessionari
Fiat Croma Restyling (Topic Ufficiale - 2007);https://www.autopareri.com/forums/topic/23691-fiat-croma-restyling-topic-ufficiale-2007?&page=18#comments;24/08/2007 19:01;Teknos;;ma proprio gli stessi fari ? ? ma no dai speriamo di no.... ;Fiat;Croma;negativo;;;negativo;;;;;;;negativo;;
Nuova Honda Civic...;https://www.bmwpassion.com/forum/threads/nuova-honda-civic.13139/;20/11/2003 00:00;Luca318;;eccola qua...non c'è che dire molto particolare ed originale...molto belli i due scarichi... ;Honda;Civic;positivo;;;positivo;;;;;;;;;
FPT - Il punto sulla situazione Motori;https://www.autopareri.com/forums/topic/27629-fpt-il-punto-sulla-situazione-motori?&page=14#comments;04/06/2009 10:49;antoniocalderone;;Per non parlare della ripresa di che i consumi piu' bassi si riferiscono a potenze maggiori ecc ecc. Qui si vede come la comunicazione rispetto a questa tecnologia fa acqua ( e' anche vero che non e' cominciata la campaña di MK ) . ;;;negativo;negativo;;;;;neutro;negativo;;;;;
Citroen C5 Aircross 2017;https://www.autopareri.com/forums/topic/63013-citroen-c5-aircross-2017?&page=7#comments;10/11/2018 19:45;Beckervdo;;C5 Aircross regolarmente a listino di Citroen italia. Si parte dai 25.700 Euro della 1.2 PureTech da 131 CV fino ai 35.200 della 1.6 PureTech EAT8 da 181 CV Per il diesel abbiamo il 1.5 BlueHDI da 131 CV a 27.200 Euro fino ai 36.700 Euro della 2.0 BlueHDI EAT8 da 177 CV ;Citroen;C5;neutro;neutro;;;;;;neutro;;;;;
Porsche Macan: la nuova generazione sarà elettrica - HDmotori.it;http://www.hdmotori.it/2019/02/26/porsche-macan-prossima-generazione-elettrica-suv/;26/02/2019 06:41;Matt7even;;#soonBasta annunci;Porsche;Macan;neutro;;;;;;;;;;;;
Mondiale F.1 2019 - parliamone;https://forum.quattroruote.it/threads/mondiale-f-1-2019-parliamone.119664/page-18;20/01/2019 00:00;gbortolo;;"Quello che mi preoccupa ( si fa per dire perché ho vissuto bene sia quando la Ferrari vinceva che quando perdeva parentesi tragiche a parte ) è la supposta ""messa sotto esame"" all'interno della squadra del pilota tedesco. Se la squadra non si fidasse veramente più del pilota e viceversa non potrebbe che finire male. Basti pensare Hamilton nel 2016 o anche peggio Ricciardo da metà stagione in poi. Tutto quanto che stride fortemente con quel clima che si respirò dal '96 al 2006 in cui fiducia e rispetto era al massimo fra tutti i componenti della squadra. E non venitemi a dire che Michael ""pensava solo a guidare"" cosa che si pretende oggi da Vettel. ";Ferrari;;negativo;;;;;;;;;;;;
Alfa Romeo 4C;https://forum.quattroruote.it/threads/alfa-romeo-4c.74909/page-23;18/03/2013 00:00;vecchioAlfista;"""Che io sappia che il carbonio non si ripara. Si ripara invece l'allumini ma comunque con manodopera specializzata e costi rilevanti.""";Allora il carrozziere aveva ragione... ;Alfa Romeo;4C;neutro;;;;;;;;;;;neutro;
Ecco una versione speciale venduta in Germania...;https://www.autopareri.com/forums/topic/5875-ecco-una-versione-speciale-venduta-in-germania;31/03/2004 18:48;daytona;;Test completo sull'utimo numero del noto periodico tedesco. La GT prende solo 3 delle famose 5 stelle un po' poco... Motivazioni: la qualità complessiva di prodotto ritenuta ancora non soddisfacente. Sulla criticità qualitiva della GT si è espresso anche Nuvolari in una prova condotta con il mensile AUTO qualità ritenuta inferiore rispetto al coupè bmw.... ;;;negativo;negativo;;;;;;;;;;;
Lancia Delta Facelift (Topic Ufficiale - 2011);https://www.autopareri.com/forums/topic/27109-lancia-delta-facelift-topic-ufficiale-2011?&page=699#comments;21/03/2009 11:26;spiderland;;noto con piacere che in molti stiamo scegliendo gli stessi cerchi...:b35 ;Lancia;Delta;positivo;;;positivo;;;;;;;;;
Fiat Grande Punto (Topic Ufficiale - 2008);https://www.autopareri.com/forums/topic/29104-fiat-grande-punto-topic-ufficiale-2008?&page=47#comments;20/07/2009 22:05;Sonata_Arctica;;Non per te tu sei il primo ;Fiat;Grande Punto;neutro;;;;;;;;;;;;
Installazione clima;https://forum.quattroruote.it/threads/installazione-clima.119003/;22/10/2018 00:00;U2511;"""30 anni fa si faceva. C'era la Diavi dove ho fatto la tesi di laurea che faceva questo business. Mi pare ch nel '9 ci volesse qualcosa tipo un milione e mezzo di lir circa.""";Sì lo rammento bene. Ma era l’epoca analogica senza ecu da riprogrammare senza servo attuatori e con parecchio spazio nel vano motore per installare quanto necessario. Ora la Diavia è Webasto ed in after sales sulle auto ti montano solo i riscaldatori ausiliari per il resto fornisce componenti all’industria. Rimane come postvendita il mercato dei bus delle macchine operatrici e della nautica. ;;;neutro;;;;neutro;;;;;;negativo;;
Opel Mokka 2012;https://www.autopareri.com/forums/topic/45818-opel-mokka-2012?&page=14#comments;11/11/2012 08:31;Adamo82;;Presa ieri 1.7 diesel 130cv bianca arriverà a febbraio. Ci ho messo tutto tranne il tetto in vetro e i sedili in pelle.L'ho provata la settimana prima del lancio e mi ha colpito moltissimo la posizione di guida e l'agilità che ha nel traffico. Adesso non vedo l'ora che arrivi ! ! ! ;Opel;Mokka;positivo;;positivo;neutro;;;;neutro;;;;;
Comprare una V40 nel 2018;https://forum.quattroruote.it/threads/comprare-una-v40-nel-2018.115041/;26/02/2018 00:00;Alosqualo;;da concessionario ufficiale volvo. Cmq mi pare di ricordare fosse un D3 Business quella che ha preso quini credo come la tua. Secondo me il prezzo piò o meno é quello magari chiedi ancora 1 tagliando omaggio o estensione garanzia. ;Volvo;V40;neutro;;;;;;;;;;;neutro;neutro
Anno nuovo auto nuova [Peugeot 308];https://forum.quattroruote.it/threads/anno-nuovo-auto-nuova-peugeot-308.93495/page-4;06/04/2016 00:00;Eldinero;"Una buona scelta la 30 decisamente meglio dell'astra sotto tutti gli aspetti. auguri! (io aspetto di ritirare la twinghina nuova...)... Grazie Ale! Ho appena letto nell'altro topic del tuo nuovo acquist me lo ero perso durante questi periodi di assenza! Comunque l'Astra ai suoi tempi fu presa proprio di corsa per una serie di ragion ed onestamente non si rivelò proprio un buon acquisto! Questa volta è stato ponderato per bene (anche se il fattore emozionale ha avuto peso speriamo ci regali le stesse soddisfazioni dateci dalla Clio! ""Una buona scelta la 30 decisamente meglio dell'astra sotto tutti gli aspetti. auguri! (io aspetto di ritirare la twinghina nuova...)""";Un'Astra presa di corsa sembra un gioco di parole di auto Opel :lol: Complimenti per l'acquisto. ;Peugeot;308;positivo;positivo;;;;;;;;;;;
Maserati Ghibli 2013;https://www.autopareri.com/forums/topic/51327-maserati-ghibli-2013?&page=55#comments;11/05/2013 19:28;lukka1982;;Sul posizionamento di quest'auto non ne usciamo più... ;Maserati;Ghibli;neutro;neutro;;;;;;;;;;;
986 con troppo olio motore;http://www.porschemania.it/discus/messages/502415/688507.html?1398601887;04/04/2014 18:36;alessmacc;;Fanne rapidamente scaricare un po' da un meccanico di fiducia o dal CP da cui sei andato...;Porsche;986;neutro;;;;;;;;;;;neutro;
Rimanere o no in casa Subaru;https://forum.quattroruote.it/threads/rimanere-o-no-in-casa-subaru.102025/page-3;04/02/2016 00:00;abarbolini;"Verissim ma anche la Insignia non mi risulta sia rialzata (potrei sbagliarmi)..... La Cross Tourer è rialzat la Sports Tourer è quella ""normale""... Ps ci sarebbe anche la Volvo XC7 comoda e spazios ma stiamo parlando di una vettura da 50k... 'Verissim ma anche la Insignia non mi risulta sia rialzata (potrei sbagliarmi)..'";Ci sarebbe anche la Volvo V60 Cross Country ;Volvo;V60;neutro;;;;;;;;;;;;
Volkswagen Polo 2017;https://www.autopareri.com/forums/topic/63283-volkswagen-polo-2017?&page=67#comments;04/10/2017 08:21;mmaaxx;;Possiamo decretare la Polo 1.0 65CV l'auto perfetta per i vegani ? Manco i moscerini in autostrada riesce ad ammazzare ;Volkswagen;Polo;negativo;;;;;negativo;;neutro;;;;;
Civic X- Il design parliamone;https://forum.quattroruote.it/threads/civic-x-il-design-parliamone.111496/page-4;29/09/2017 00:00;fran00;"""L'auto è molto bell mi piac però quattro metri e mezzo.... e che cavolo. Solo per la lunghezza perderanno molti client tra cui m perché è proprio esagerata. Ha un bagagliaio che ci entrano tre suocere. Potevano tagliare venti centimetri dalla cod e anche l'interno è enorme!""";pensa invece che tra i motivi che me l'hanno fatta acquistare ci sono proprio lo spazio interno e il bagagliaio ( ma per fortuna ne ho solo una di suocera ) . le alternative ( in termini di spazio ) sono solo le sw di pari segmento ;Honda;Civic;positivo;;positivo;;;;;;;;;;
Honda Jazz 1.3 pregi e (soprattutto) difetti;https://forum.quattroruote.it/threads/honda-jazz-1-3-pregi-e-soprattutto-difetti.113775/page-13;05/01/2018 00:00;BlackDM;;La concessionaria dove ho acquistato l'auto mi fa 210 Iva inclusa ma togliendo tutte le cose inutili tipo profumatore al limone... Prezzo da scontare ma non è dato sapersi la percentuale di sconto quindi mi richiameranno per fornirmi il prezzo preciso ;Honda;Jazz;neutro;;;;;;;;;;;;neutro
