Titolo,URL,Timestamp,User,(Testo Citato),TESTO,Costruttore,Modello,Brand,Interni,Esterni,Meccanica,Prestazioni,Consumi/Autonomia,Motore,Elettrico,Fuoristrada,Elettronica di Bordo,Manutenzione,Assistenza/Concessionari
Mazda MX-5 2015,https://www.autopareri.com/forums/topic/56165-mazda-mx-5-2015?&page=160#comments,2015-12-15 19:10:25,superkappa125,,A pari allestimento qualcosa in meno. La 2.0 é in allestimento Sport con Blistein e differenziale. ,,,,,,,,,,,,,,
Honda Civic Facelift (Topic Ufficiale - 2008),https://www.autopareri.com/forums/topic/30746-honda-civic-facelift-topic-ufficiale-2008,2008-10-10 17:44:17,Dodicicilindri,,Brutta non è la preferisco decisamente a certe vetture jap totalmente anonime. Le forme così stravaganti però effettivamente possono stancare presto. C'è da dire che non essendo comunissima è una scelta originale. ,,,,,,,,,,,,,,
JIMNY EVOLUTION 2015,https://forum.quattroruote.it/threads/jimny-evolution-2015.93914/,2015-04-04 00:00:00,xdelta15,'Le Jimny sono prodotte in Giappone (Iwata) e sono costruite in maniera impeccabile.',Le Jimny che arrivano in Italia sono prodotte a Linares in Spagna dalla Santana Motors. Magari si potessero avere quelle giapponesi... http://en.wikipedia.org/wiki/Suzuki_Jimny ,,,,,,,,,,,,,,
Scénic XMod - Topic Ufficiale,https://forum.quattroruote.it/threads/sc%C3%A9nic-xmod-topic-ufficiale.14456/page-19,2010-01-13 00:00:00,Phantom65,,"Un saluto a tutti sono un nuovo iscritto nonchè nuovo possessore di una Xmod 1.5 DCI 110CV Lux. L'ho acquistata a fine ottobre... arrivata al concessionario a fine novembre e tenuta bloccata per immatricolarla con l'anno nuovo. Alla macchina già accessoriatissima ho fatto aggiungere la porta USB alla radio la telecamera di parcheggio posteriore e la ruota di scorta. Colore grigio eclisse. Ho reso una Megane Grandtour 1.9DCI di quasi 5 anni e me l'hanno scontata 10500 Euro. Viaggiamo molto specialmente viaggi romagna/sicilia dato che mia moglie è palermitana e proprio lei stanca di auto ""stese"" ( venivamo da due megane SW consecutive ) ha voluto il monovolume. Ho scelto il 1500 perchè girando per concessionari ho visto la difficoltà a ritirare il 1900... me lo hanno detto in tanti e non solo concessionari renault... le cilindrate piccole si rivendono meglio in questo momento... le grosse non le vuole nessuno ( boh ? ) Dopo le prime impressioni di guida devo dire che questo 1500 è molto scattante e a parte un vuoto di motore a 1000 giri che la grandtour 1900 non aveva appena ci si avvicina ai 1500 giri lo scatto diventa prepotente. Diciamo che il motore che avevo precedente era più costante più elastico prendevo tranquillamente le curve da quasi fermo in terza e riprendevo senza problemi.... con il 1500 se quasi ti fermi la seconda è d'obbligo. Ho letto velocemente le 19 pagine di messaggi che avete lasciato in questo topic... e non mi trovo d'accordo in generale con chi dice che il motore è rumoroso.... io venvo da due auto diesel... la megane SW del 2000 era un trattore... montava il 1900 DTI da 100 CV e nell'abitacolo in autostrada il rumore era fastidioso. La grandtour del 2005 silenziosissima... un salto di qualità enorme rispetto alla SW precedente. Questa Xmod 1500 direi che rimane sullo stesso livello... il motore non si sente.... l'altro ieri ho fatto qualche km in autostrada... l'ho spinta facilmente fino ai 140 e l'unica cosa che sentivo ( rigorosamente a radio spenta ) era il fruscio dell'aria. La cosa che per ora mi sta deludendo molto sono i consumi.... non ho ancora fatto verifiche vere... ma se il computerino ha ragione questa auto consuma molto di più della mia ex Megane Grandtour.... e invece dai dati ufficiali Renault dovrebbe consumare di meno.... per ora sono molto distante dai 5 litri per 100km che più o meno vengono previsti quasi in ogni situazione.... spero solo che una volta slegato il motore il consumo si riduca sensibilmente. Verifiche più attendibili ai prossimi pieni. Ho visto che a inizio topic qualcuno ha chiesto se sui cerchi da 17 si possono montare le catene... non ho più trovato messaggi in proposito.... è una cosa che mi sono chiesto anch'io vedendo il poco spazio che c'è intorno alla ruota. Ho però letto di uno di voi che in omaggio ha avuto un set di catene Koenig omaggio dalla Renault... e quindi mi verrebbe da pensare che si possa fare. Una domanda agli smanettoni del navigatore. La prima cosa che ho fatto appena arrivato a casa è stato quello di cercare di duplicare la SD in maniera da tenere nel cassetto l'originale in un cassetto e la copia in auto ai 60 gradi estivi e i meno 10 invernali. Non c'è stato modo... ho provato di tutto.. compreso programmi quasi da hacker per la clonazione delle SD.... ho provato con il semplice backup e ripristina backup del tom tom HOME ma nulla... quando la inserisco nello slot dell'auto mi dice che non può utilizzare quella carta. Ho scritto direttamente alla TOMTOM... penso sia mio diritto avere una copia di sicurezza.... una copia tra l'altro che non servirebbe a nessun'altro... siamo ben lungi dalla pirateria informatica... la mia SD non la può montare uno che acquista un navigatore Standalone o quelli di altre auto... mi pare di aver capito che ogni sd e carta è attivata su quell'auto e solo su quella. Per ora nessuna risposta dalla TOMTOM.... qualcuno di voi ha avuto la stessa idea e l'ha risolta ? Sempre sul TOMTOM.. ho letto sempre qui che per 60 gg gli aggiornamenti della cartina stradale è gratuito.. poi sarà a pagamento..... stessa cosa vale per il software ? quando usciranno aggiornamenti... miglioramenti... bisognerà pagarli o quelli saranno gratuiti ? Grazie a tutti per le info che condividete... appena ho altre impressioni le posterò sicuramente Ciao Luca ",,,,,,,,,,,,,,
Problema sensori pressione gomme nuova Ignis,https://forum.quattroruote.it/threads/problema-sensori-pressione-gomme-nuova-ignis.112351/,2017-09-26 00:00:00,thedriver,,Grazie ! Però 0.3 bar di differenza tra i 2 assi ! Provo un innata simpatia per questa macchinina.. Anzi mi piace proprio ! ! ,,,,,,,,,,,,,,
Maserati Levante 2016,https://www.autopareri.com/forums/topic/60515-maserati-levante-2016?&page=16#comments,2016-02-20 12:37:01,fois.giampiero,,Mi aspettavo di meglio ma non è malvagia ... promossa con la sufficienza la macan la trovo molto più bella ,,,,,,,,,,,,,,
Cosa controllare alla consegna C-Zero Full Electric Seduction,https://www.forumelettrico.it/forum/c-zero-full-electric-seduction-in-arrivo-nuova-vari-dubbi-t5538-20.html?sid=cf320c818113fa0ab266acd3baa36de1&sid=cf320c818113fa0ab266acd3baa36de1,2019-05-06 16:46:00,frank,'certo..pero dicevo..che se domani passa ad auto trifase..e compra nuovo cavo trifase..quello monofase da 32 è piu vendibile di uno d 1 che accontenta pochi potenziali utenti..',Non dimenticare che stiamo parlando di tipo 1 lato auto. in quali auto puoi pensare di usarla in futuro ? ,,,,,,,,,,,,,,
Problema A5 sportback s-line 2016,https://forum.quattroruote.it/threads/problema-a5-sportback-s-line-2016.117531/,2018-07-20 00:00:00,SirPatrick,"'Ciao a tutt mi chiamo Luc ho comprato nell'Agosto del 2016 da concessionario ufficiale un'Audi A5 Sportback s-line nuova. Purtroppo dall'arrivo della primavera/estate di quest'anno la mia aut a nemmeno due anni di vit ha iniziato a mostrare un problema alquanto fastidioso per il confort di guida. Da quando ho acceso il clim tenuto in modalità ""auto (automatico) nell'utilizzare l'auto sento dei rumori continui assimilabili a dei ""ciocchi"" che vengono emessi in maniera più o meno continuata dal cruscott sia dopo l'uscita dell'auto dal garage al mattin ma specialmente quando utilizzo l'auto dopo tempo che è stata parcheggiata con esposizione al sole e questo accade sia se transito su una sconnessione stradal sia quando viaggio su tratti lineari. Questi rumori rendono la guida particolarmente stressante (pure con la radio accesa) al posto di renderla confortevol e ritengo che non sia un aspetto normale in un'auto nuov per altro avente pochi chilometri (circa 13.000 km). Mi sono recato più volte presso la concessionaria dove ho comprato l'aut ma purtroppo nessuno è stato in grado di risolvere questo problem o nessuno l'ha mai considerato seriament mi hanno risposto che può essere dovuto a dilatazioni termiche del cruscotto per alta temperatura/aria fredda o ad invecchiamento progressivo delle plastiche del cruscotto o dei tub e che quindi potrebbe essere un aspetto normale secondo leggi fisiche. Dopo due anni? Mi sembra assurdo... Ho fatto anche il tagliando ""service"" pochi giorni f ho ritirato l'auto e continua a mostrare lo stesso problema. Conosco persone che possiedono Audi e questo problema non ce l'hann tutta l'estate scorsa giustamente non me l'ha fatt io ritengo che sia un fatto tutt'altro che normale quello che sta accadendo. L'esperienza di guida con Audi dovrebbe essere confortevol invece la mia si sta rivelando stressante e la cosa sinceramente mi infastidisce. Qualcuno di voi ha/ha avuto lo stesso problema? Che soluzione avete trovato? Grazie a tutti per l'aiuto.'","Tranquillo che ogni difetto della tua Audi per loro è normale. Anche la mia aveva la condensa nei fari ( xeno ) e altri difettucci sempre considerati ""normali"" dal capo officina. Stanco di essere preso in giro l'ho venduta e ho cambiato marca. In bocca al lupo per tutto. ",,,,,,,,,,,,,,
C-HR 18 Hybrid,https://forum.quattroruote.it/threads/c-hr-1-8-hybrid.117661/page-3,2018-07-28 00:00:00,paulein118,,Se gira in città in effetti non si gode molto la dinamica ,,,,,,,,,,,,,,
Chi indovina?,https://www.bmwpassion.com/forum/threads/chi-indovina.15131/,2004-04-20 00:00:00,Davide,"""Ho avvistato un tuo collega moro con pizzetto su una specie di 612 cammuffat l'altra mattina alle 6.50 a Marzaglia.""",Oggi sulla nuova Estense indovinate un po' le macchine sono 4 ,,,,,,,,,,,,,,
