Titolo;URL;Timestamp;User;(Testo Citato);TESTO;Costruttore;Modello;Sentiment;Brand;Interni;Esterni;Meccanica;Prestazioni;Consumi/Autonomia;Motore;Elettrico;Fuoristrada;Elettronica di Bordo;Manutenzione;Assistenza/Concessionari
Ferrari LaFerrari 2013;https://www.autopareri.com/forums/topic/50881-ferrari-laferrari-2013?&page=18#comments;05/03/2013 13:55;X82;;Perfetta così. purtroppo succederà ;Ferrari;LaFerrari;positivo;;;;;;;;;;;;
SUBARU AWDAY;https://forum.quattroruote.it/threads/subaru-awday.96888/page-3;17/06/2015 00:00;Suby01;"pi_greco ha scritto: DESMO16 ha scritto: comunqu faccio quasi un pensierino per la Levorg... ... anch'i anche se forse abitabilità e capacità...... certo il posizionamento tra XV e Forester indica che non sarà una premium in lunghezz d'altronde dovrebbe essere una segm. C ..però che segm C!... una 4 e mezzo o poco pi mentre la legacy sfiorava i 480... da valutare come allestiment volumetria e prezz per le doti dinamiche confido facciano meflio della O forse anche della legacy... certo che trovare la nuova O in allestimeno style (già completo) a 33k? in p.c. comporterebbe un listino molto conveniente per la levor altrimenti... "" pi_greco ha scritto: DESMO16 ha scritto: comunqu faccio quasi un pensierino per la Levorg... ... anch'i anche se forse abitabilità e capacità...... certo il posizionamento tra XV e Forester indica che non sarà una premium in lunghezz d'altronde dovrebbe essere una segm. C ..però che segm C! "" DESMO16 ha scritto: comunqu faccio quasi un pensierino per la Levorg... ... anch'i anche se forse abitabilità e capacità... 'comunqu faccio quasi un pensierino per la Levorg... '";dovrebbe essere più di 4 50 mt... circa 4 70 ( cioè come la mia legacy ) ;Subaru;Levorg;neutro;;;;;;;;;;;;
Scénic XMod - Topic Ufficiale;https://forum.quattroruote.it/threads/sc%C3%A9nic-xmod-topic-ufficiale.14456/page-128;08/07/2010 00:00;agno3;"... sono rimasto colpito dalle immagini del pneumatico distrutt per esperienza vissuta la causa dovrebbe essere stata una foratura che ha lentamente sgonfiato lo stesso provocandone il surriscaldamento e la successiva distruzione... comunque mi chiedevo: ma le x-mod dinamique (come sembra essere quella di motor) non sono provviste di sensori rilevamento pressione pneumatici? ho controllato sul contratto di acquisto dell'auto e questa voce risulta essere parte della dotazione di seri mentre su myrenault non compare... ciao Luciano... N é di serie solo sulla Luxe ""... sono rimasto colpito dalle immagini del pneumatico distrutt per esperienza vissuta la causa dovrebbe essere stata una foratura che ha lentamente sgonfiato lo stesso provocandone il surriscaldamento e la successiva distruzione... comunque mi chiedevo: ma le x-mod dinamique (come sembra essere quella di motor) non sono provviste di sensori rilevamento pressione pneumatici? ho controllato sul contratto di acquisto dell'auto e questa voce risulta essere parte della dotazione di seri mentre su myrenault non compare... ciao Luciano""";"per l'esattezza non è di serie ma opzionale e disponibile solo con cerchi 18"" sulle versioni 2.0 Dci 150 CV FAP Proactive e 160 CV FAP ";Renault;Scenic XMod;neutro;;;;;;;;;;;;
Jaguar XE 2015;https://www.autopareri.com/forums/topic/55884-jaguar-xe-2015;30/07/2014 11:57;Sifizzirro;;"Ho fatto un salto sul sito Jaguar italia e c'è una pagina dedicata alla XE con una foto dell'anteriore. Non aggiunge nulla di nuovo al linguaggio stilistico Jag ma IMHO va bene così alla peggio faranno qualcosa di più ""nuovo"" per il restyling. Comunque dopo mesi e mesi di tira e molla di pianali di XE questi mi pubblicano le prime foto ufficiali così... ? ! ";Jaguar;Xe;negativo;;;;;;;;;;;;
Fiat Bravo (Topic Ufficiale - 2007);https://www.autopareri.com/forums/topic/23380-fiat-bravo-topic-ufficiale-2007?&page=76#comments;13/04/2007 23:59;luc@;;Oggi vicino al Poli ho visto una Bravo grigia. Davvero notevole. ;Fiat;Bravo;positivo;;;positivo;;;;;;;;;
C-HR 18 Hybrid;https://forum.quattroruote.it/threads/c-hr-1-8-hybrid.117661/page-4;29/07/2018 00:00;Nomis;"""Da quello che so i suoi tragitti sono mediamente di 7/8 km più volte nella giornat in città.Climatizzatore ha l'abitudine come molti di noi di accenderlo anche d'inverno. Vedendolo guidar parte a razzo dai semafori e ritarda a frenare perchè si lamenta che il motore è troppo poco potente e che non ha l'accelerazione uguale alla BMW 325 che aveva prima. Sii lamenta quindi della poca velocità di risposta dell'acceleratore. Io gli ho consigliato di sostituirla con una audi RS 3""";Sarò un malpensante ma secondo me il tuo amico ha comprato l’auto sbagliata per lui ..... non è un problema ( solo ) di consumo ..... per inciso con l’assetatissima T-guan 1 GTI facevo meglio di 8 km/l.... consigli per gli acquisti ? Niente di meno di un BMW 330 .... ;Toyota;C-HR 1.8 Hybrid;positivo;;;;;;positivo;;;;;;
Next Hyundai Coupè TP?;https://www.bmwpassion.com/forum/threads/next-hyundai-coup%C3%A8-tp.41299/;18/07/2004 00:00;Melo;;Sembrerebbe proprio di si ! La prossima generazione della Coupè coreana si converte alla trazione posteriore ! autoscoops.be ;Hyundai;Coup�;neutro;;;;;;;;;;;;
Mondiale F.1 - GP dell'Azerbaijan;https://forum.quattroruote.it/threads/mondiale-f-1-gp-dellazerbaijan.116225/page-4;27/04/2018 00:00;gbortolo;"""io gli porrei una domand ma già dal 2018 avevano come obbiettivo quello di raggiungere la RedBull? Mi sembra un poco pretestuoso come obbiettiv la Renault stessa sapeva benissimo che quest'anno poteva sicuramente migliorare e lo sta facendo ma mai gli è passato per la mente di considerare la RedBull lo scopo di quest'ann anche perchè parliamoci chiaro l in RedBul hanno anche un capitale umano superiore sia a Renault che a Mclaren""";Quando ti sei auto illuso di avere il miglior telaio della F1 e scopri che a pari motore sei l'ultimo ... credo che a qualche azionista siano un pochino girate. Ormai l'alibi motore è caduto ed il re è nudo. Certo che tutte queste continue rivoluzioni e teste che rotolano di fronte alle sconfitte mi ricordano un passato nemmen troppo lontano di una squadra in rosso... ;;;negativo;;;positivo;;;;negativo;;;;;
"""Mercato"" Team Principal - Se Arrivabene va alla Juve chi andrà in Ferrari?";https://forum.quattroruote.it/threads/mercato-team-principal-se-arrivabene-va-alla-juve-chi-andr%C3%A0-in-ferrari.118694/page-3;11/10/2018 00:00;?angelo0;'Restare? Questo è un camaleonte ! Cerca uno nello Staff e poi gli dà tutte le colpe a lu così lui risulta sempre lindo e pulitissimo. Tutto ciò ha funzionato benissimo sotto il povero Marchionn adesso però non so a chi andrà a raccontare le sue panzane. Oramai ne ha combinate davvero troppe e deve per forza assumersi LE SUE responsabilità. Sui sensori: non ha fatto niente di niente per opporsi alle spie della FI anz gli ha spalancato le porte dei Box ... già solo per questo singolo episodio bisognava allontanarlo subito. O sei nella squadra e lo accetti e ti comporti di conseguenz andando anche tu nella direzione di tutti (e lui sarebbe il TP !!!!) oppure se hai qualche tendenza masochistica o auto-sacrifical vattene in Mercedes e lavora per loro ... che s mettigli in lustro le chiav dai una passata col moci oppure controlla le pistole avvita bulloni ...';Ricordo fine mese di agosto di avere letto un articolo dove Hamilton diceva che la Ferrari non era regolare ma una persona che non ricordo il nome al momento della FIA ( Posso cercarlo ) che gli rispondeva dicendo questa frase: La FIA sa tante cose sulla Ferrari che le parole di Hamilton non possono essere prese seriamente. Quindi puo significare che Fia era al Corrente della regolaritá di Ferrari ma conoscendo molto Dalla Ferrari avrebbe potuto dare informazioni ad altri…. ( Nn Voglio credere ) fatto é che i sensori di controllo la Ferrari li ha avuti addosso ;Ferrari;;neutro;;;;;;;;;;;;
Fiat Bravo;https://www.bmwpassion.com/forum/threads/fiat-bravo.32580/page-11;22/11/2004 00:00;Roger84;"""Provata ieri mattina. Ho guidato la 150 cavall ma purtroppo non era la versione sport. nel brevissimo giro che abbiamo fatto ho potuto valutare ben poco: Sterzo molto leggero e abbastanza precis fa sembrare la macchina molto piu leggera e piccola di quello che è. Assetto piuttosto morbid ma d'altronde non era la sport. Il motore mi ha deluso parecchi sarà che la macchina aveva appena 80 k sarà che ha il dp è euro 4 etc et ma proprio non si muove! partendo in III da circa 50 me le ha suonate una golf 3 tdi... per il resto è veramente una bella macchin abbastanza grande dentro e con un bel bagagliaio. non male anche i prezz in media 1500 euro piu della stilo. la componentistica interna sembra molto buon un bel passo avanti rispetto al passat ma da alcune parti (vedi sulle portiere) alcune plastiche al tatto sembrano ancora di qualità scadente. A mio parere Fiat ha fatto una buona mossa: La stilo in fin dei conti non era malvagia come macchin ma non è piaciuta. Con la bravo hanno fatto una macchina bell che sembra piacer di buona qualità e con tanti gadget che la stilo non poteva aver mantenendo in fondo lo stesso pianale della stilo lievemente aggiornato. Poca spesa tanta res si spera! Aspetto con curiosità qualche prova su strada di qualche rivista per vedere come va in realtà questo telaio... A e complimenti a mamma fiat per le belle hostess che c'erano in concessionaria!""";Provata ieri mattina.Ho guidato la 150 cavalli ma purtroppo non era la versione sport.nel brevissimo giro che abbiamo fatto ho potuto valutare ben poco:Sterzo molto leggero e abbastanza preciso fa sembrare la macchina molto piu leggera e piccola di quello che è.Assetto piuttosto morbido ma d'altronde non era la sport.Il motore mi ha deluso parecchio sarà che la macchina aveva appena 80 km sarà che ha il dpf è euro 4 etc etc ma proprio non si muove ! partendo in III da circa 50 me le ha suonate una golf 3 tdi...per il resto è veramente una bella macchina abbastanza grande dentro e con un bel bagagliaio.non male anche i prezzi in media 1500 euro piu della stilo.la componentistica interna sembra molto buona un bel passo avanti rispetto al passato ma da alcune parti ( vedi sulle portiere ) alcune plastiche al tatto sembrano ancora di qualità scadente.A mio parere Fiat ha fatto una buona mossa: La stilo in fin dei conti non era malvagia come macchina ma non è piaciuta. Con la bravo hanno fatto una macchina bella che sembra piacere di buona qualità e con tanti gadget che la stilo non poteva avere mantenendo in fondo lo stesso pianale della stilo lievemente aggiornato.Poca spesa tanta resa si spera ! Aspetto con curiosità qualche prova su strada di qualche rivista per vedere come va in realtà questo telaio...Ah e complimenti a mamma fiat per le belle hostess che c'erano in concessionaria ! ;Fiat;Bravo;positivo;positivo;;positivo;;;;negativo;;;;;positivo
Alfa Romeo Giulietta (Topic Ufficiale - 2009);https://www.autopareri.com/forums/topic/36127-alfa-romeo-giulietta-topic-ufficiale-2009?&page=874#comments;31/05/2010 13:56;Arcy79;;"Io non ho detto che si sono basati ""solo"" sull'elettronica ma che è indubbio un aumento della stessa per poter compensare il divario con lo schema della 147. E poi avere il Q2 di serie rappresenta un indubbio incremento di elettronica riseptto alla sostituta. Beh secondo gli attuali canoni con i quali si scelgono le auto nel mondo reale e non sui forum molto...............ma ovviamente è solo una mia convinzione ";Alfa Romeo;;neutro;;;;;;;;;;positivo;;
Fiat Bravo;https://www.bmwpassion.com/forum/threads/fiat-bravo.32580/page-8;12/07/2006 00:00;fasolini6;"""beh a vedere gli ultimi bilanci la Fiat si e' gia risollevata parecchi addirittura ha fatto segnare un utile!!!!""";e l´elettronica degli altri componenti ? ricordo che le fiat di una volta avevano il problema che con una freccia accesa si illuminava anche la luce di stop ;Fiat;Bravo;neutro;negativo;;;;;;;negativo;;;;
Sondaggio IX20: pregi e difetti;https://forum.quattroruote.it/threads/sondaggio-ix20-pregi-e-difetti.56297/;01/10/2011 00:00;g14n.luc4;;x euro79 Quanto consuma il 1.4 benzina ? Te li fa almeno 12 Km/L ? ;Hyundai;iX20;neutro;;;;;;neutro;;;;;;
Renault Kangoo Facelift (Topic Ufficiale - 2007);https://www.autopareri.com/forums/topic/28179-renault-kangoo-facelift-topic-ufficiale-2007;10/09/2007 17:53;Teknos;;"si lo so: radio volante ( lo stesso della Scenic ) clima maniglie....tutto è ripreso dalle attuali Renault però è normale alla fin fine devono cercare di risparmiare perche principalmente nasce come mezzo commerciale e/o ""da battaglia"" e poi perche il listino dovrà essere contenuto...quindi nessuno scandalo infatti su Laguna tutti i componenti se noti sono nuovi. ma guarda che pena l interno dell attuale Kangoo e noterai il netto miglioramento. ";Renault;Laguna;positivo;;positivo;;;;;;;;;;
Confronti stilistici tra 159 e le sue rivali;https://www.autopareri.com/forums/topic/11766-confronti-stilistici-tra-159-e-le-sue-rivali?&page=8#comments;03/03/2005 16:55;bialbero;;hai ragione anche tu ma sai son più di 15 anni che aspetto di poter di nuovo vedere un'Alfa come dio comanda caz.zo ! ! aspetterò cmq a provarla su strada... ;Alfa Romeo;;negativo;negativo;;;;;;;;;;;
