Titolo;URL;Timestamp;User;(Testo Citato);TESTO;Costruttore;Modello;Sentiment;Brand;Interni;Esterni;Meccanica;Prestazioni;Consumi/Autonomia;Motore;Elettrico;Fuoristrada;Elettronica di Bordo;Manutenzione;Assistenza/Concessionari
Ritorna la VW Corrado;https://www.bmwpassion.com/forum/threads/ritorna-la-vw-corrado.16761/;17/08/2005 00:00;piccinino;;;VW;VW Corrado;neutro;;;;;;;;;;;;Assistenza/Concessionari
Nuova Civic Type R;https://www.bmwpassion.com/forum/threads/nuova-civic-type-r.28743/;07/09/2004 00:00;996;;;;Civic Type R;neutro;;;;;;;;;;;;Assistenza/Concessionari
Prendo una Porsche Boxster 2.5?;http://www.porschemania.it/discus/messages/502415/542989.html?1431786226;05/02/2011 13:05;bussino;;ho avuto per tre anni una slk200 kompressor ( 192cv ) ---> 100.000km zero problemi...anzi soltanto il dampener rotto ( 400 euro ) . l'ho cambiata da tre anni esatti con la mia 986 2 7... ......solo due cose...non ne sono pentito affatto ! ;;Porsche Boxter 2.5;positivo;;;;;;;;;;;;Assistenza/Concessionari
Alfa Romeo 4C;https://forum.quattroruote.it/threads/alfa-romeo-4c.74909/page-113;20/01/2014 00:00;loopo;;Ohhh.... E' tornato il Duetto...... Effettivamente certi individui fanno fatica a rispettare decisioni altrui ( in particolar modo quelle della moderazione ) Complimenti ;;Alfa Romeo 4C;negativo;;;;;;;;;;;;Assistenza/Concessionari
Riverbero nuova cayenne ;http://www.porschemania.it/discus/messages/22971/523989.html?1301895104;28/09/2010 11:12;smilano;;"Mario sulla mia S ""old"" non ho problemi con gli interni in pelle totale grigi ed il cruscotto grigio scuro. Confermo silvano in altro OT hanno gi\xe0 parlato di questo problema sulla ""new"". Ciao ";;nuova cayenne;negativo;;;;;;;;;;;;Assistenza/Concessionari
Nissan Qashqai 1.6 quando cambiarla?;https://forum.quattroruote.it/threads/nissan-qashqai-1-6-quando-cambiarla.111027/;17/08/2017 00:00;NEWsuper5;'quindi abbiamo diritto al risarcimento?';Devi chiedere per la garanzia del secondo motore da chi l'ha montato. Era nuovo rigenerato o usato ? Che olio usavi ? Perchè molti hanno accentuato il problema usando un olio non idoneo altri hanno avuto guai alla turbina per lo stesso motivo. In un'altra room c'era chi si lamentava dell'affidabilità stesso motore perchè ha rotto la cinghia di distribuzione ma era in ritardo con la manutenzione di qualche anno. ;;Nissan Qashqai 1.6;negativo;;;;negativo;;;negativo;;;;;Assistenza/Concessionari
Online il sito dell'ecobonus per auto elettriche;https://www.forumelettrico.it/forum/online-il-sito-dell-ecobonus-t4943-220.html?sid=053f872f8b7b19de0856815c966834f2&sid=053f872f8b7b19de0856815c966834f2;12/04/2019, 0:23;Francesco M;;"Ho appena concluso l'acquisto di una Vespa elettrica che avevo da oltre 1 mese bloccato in conce aspettando l'avvio del ecobonus che a mia sorpresa è stato inferiore rispetto a quello che si pensava.Per i veicoli L1-L3 il bonus viene calcolato prendendo come riferimento il prezzo prima di calcolare l'iva si calcola il 30% e si ha l'ammontare del bonus ( la parte che lo stato paga al posto tuo ) poi si aggiunge l'iva comunque sul prezzo di partenza del veicolo.Non so se sono stato chiaro ho allegato la circolare Piaggio mandata ai suoi conce il 9 aprile cosa che mi ha confermato al telefono un addetto del servizio clienti Piaggio.Forse sono l unico in Italia ad averla acquistata non ce niente in giro che segnala questo tutti i siti quando prendono come esempio la Vespa elettrica calcolano 6 390 meno 30% uguale 4 473 invece di 4 819 20190411_235816.jpg ( 1.02 MiB ) Visto 130 volte <img alt=""20190411_235816.jpg"" class=""postimage"" onclick=""viewableArea ( this ) "" src=""./download/file.php ? id=13056&amp sid=053f872f8b7b19de0856815c966834f2""/>";;;positivo;;;;;;;;;;;;Assistenza/Concessionari
Alfa Romeo 4C 2013;https://www.autopareri.com/forums/topic/56324-alfa-romeo-4c-2013?&page=842#comments;20/05/2014 07:40;redaelly;;"il conce settimana scorsa parlando dei cerchi ""perché volevo cambiarli in nero ""mi diceva che non e' più possibile montarli solo grigi quelli con i fori. sapete qualcosa ? ? ";;Alfa Romeo 4C 2013;neutro;;;neutro;;;;;;;;;Assistenza/Concessionari
Consiglio Acquisto Smart Fortwo Usata;https://forum.quattroruote.it/threads/consiglio-acquisto-smart-fortwo-usata.29723/;22/08/2010 00:00;|Mauro65|;'Non penso proprio che esista una smart fortwo benzina con relativo turbo!!! il classico benzina smart da 61 o 71cv ne è altamente sprovvisto! La turbina di cui parli forse la troviamo nel diesel!| Saluti.';Le 1st generation benzina avevano un 600 cc turbo ( delicatissimo ) le 2nd generation ( quella cui si riferisce l'autore del post ) un 700 cc turbo in tre declinazioni di potenza ( questo motore era ed è molto affidabile affidabile ) la 3rd generation ( l'attuale ) ha un mille ( 999 cc ) aspirato in due versioni di potenza o lo stesso mille turbo anch'esso in due versioni di potenza. ;;Smart Fortwo;positivo;;;;;molto positivo;;;;;;;Assistenza/Concessionari
Alfa Romeo 159: 1750 TBi per la Guardia di Finanza;https://www.autopareri.com/forums/topic/50749-alfa-romeo-159-1750-tbi-per-la-guardia-di-finanza?&page=2#comments;24/02/2013 17:52;Spripi;;Vista martedì scorso qui a Trento nel mezzo di piazza Duomo in occasione delle prove della cerimonia di apertura dei mondiali di Sci nordico. Sono rimasto molto sorpreso quando ho notato la targhetta TBI. Penso sia il primo modello a bz in dotazione alle FdO dai tempi di 156 ts. Devo dire che quel colore ( metalizzato ) le dona pure e che l'auto continua a fare il suo figurone. Peccato che la storia di questo modello sia stata così travagliata e sia finita in modo inglorioso. ;;Alfa Romeo 159;positivo;negativo;;molto positivo;;;;;;;;;Assistenza/Concessionari
