Titolo;URL;Timestamp;User;(Testo Citato);TESTO;Costruttore;Modello;Sentiment;Brand;Interni;Esterni;Meccanica;Prestazioni;Consumi/Autonomia;Motore;Elettrico;Fuoristrada;Elettronica di Bordo;Manutenzione;Assistenza/Concessionari
La Fiat Coupè 20V Turbo di Gimmo;https://www.autopareri.com/forums/topic/46724-la-fiat-coup%C3%A8-20v-turbo-di-gimmo?&page=123#comments;07/06/2013 21:49;Bauhaus;;Pessimi sia il paraurti anteriore che i side markers cromati.... Per il resto pare golosa se contiamo il fatto che sembra ottimamente tenuta e con il grande sur-plus del 1.8...... Del resto NB e NB-FL entrano nel loro periodo di maggior svalutazione ora.... ;Fiat;Coupè;negativo;;;negativo;;;;;;;;;
Bravo 1.4 TJET su 4Ruote;https://www.autopareri.com/forums/topic/23547-bravo-14-tjet-su-4ruote?&page=11#comments;29/05/2007 20:00;EC2277;;Dal sito quellichebravo.it risulta che 11:1 è il rapporto di sovralimentazione della versione aspirata del 1 4. ;Fiat;Bravo;neutro;;;;;;;;;;;;
Suggerimento Forester - Levorg;https://forum.quattroruote.it/threads/suggerimento-forester-levorg.120501/page-16;04/02/2019 00:00;Barack;"'Rimane un po' ""sottotono"" l'insieme del mezz soprattutto gli intern e la sensazione su strada ... sembra un po' troppo utilitaria. Non so spiegart come se mancasse di ""consistenza"".'";Condivido. La razionalità avrebbe detto Suzuki ma anche a me ha dato la stessa sensazione. Un po' tirata via come finiture e insonorizzazione da segmento inferiore. Anche se visto io divario di prezzo con le concorrenti in parte si spiega. E la compass è euro 6d d-temp ? O hai trovato qualche km zero ? Mi piace e su strada va molto bene ma il posto guida è piccolo per me ( 193 cm ) e non riesco a trovare la posizione corretta. ;Subaru;Forester - Levorg;negativo;;negativo;;;;;;;;;;
Consumi Cayenne S;http://www.porschemania.it/discus/messages/22971/125042.html?1139601540;12/01/2006 10:45;redfox;;Grazie ragazzi ! Credevo di essere l'unico al mondo a considerare normali i consumi del Cay ! In un percorso che faccio spesso infatti con un Kia Sorento diesel da 140 cv facevo ( alle stesse velocit\xe0 ) 8 5 km/l con un Jaguar XJR ( 4.0 sovralimentato ) 7 5 col Cay 7 9 ! ! ! ! ! No comment.....;Porsche;Cayenne S;positivo;;;;;;positivo;;;;;;
Motore vibra molto a macchina ferma in folle;https://forum.quattroruote.it/threads/motore-vibra-molto-a-macchina-ferma-in-folle.120273/;13/01/2019 00:00;marcoleo63;;Sbaglierò ma a naso direi euro3.. ;;;negativo;;;;;;;;;;;;
Tagliandi FX;https://forum.quattroruote.it/threads/tagliandi-fx.37534/;29/10/2010 00:00;sav;'Vorrei porre una domanda in merito ai tagliandi della FX 3.0 D. Mi è stato detto che il primo tagliando va fatto ai 15 mila come del resto riporta la dicitura sul display del navigatore.';Ciao a tutti vi posso confermare che il tagliando per tutte le motorizzazioni diesel V9X installate sulle Infiniti è ogni 20.000km oppure ogni anno. ;Infiniti;FX;neutro;;;;;;;;;;;;
Lancia Delta Facelift (Topic Ufficiale - 2011);https://www.autopareri.com/forums/topic/27109-lancia-delta-facelift-topic-ufficiale-2011?&page=158#comments;09/03/2008 13:54;Fab10;;Anche a me piace la Delta ! ;Lancia;Delta;positivo;;;;;;;;;;;;
2011 Jeep Grand Cherokee;https://forum.quattroruote.it/threads/2011-jeep-grand-cherokee.2977/page-2;14/03/2011 00:00;lele7;;Vero. Ad ogni modo il vecchio modello era imbarazzante su strada con delle caratteristiche e comportamento da veicolo industriale. O meglio caratteristiche da veicolo da 25k$ che era quello che costava. Il nuovo e'proprio un cambiamento dalla notte al giorno. Silenziosita' precisione di guida e stabilita' da Touareg su una macchina da 32k$ sono notevoli. In piu' un abitacolo motlo ben rifinito anche in allestimento base. Veramente notevole. Gia' ordinata ( in USA ovviamente. Altrimenti dovrei prendere una golf 1.6 ) . Ciao Daniele ;Jeep;Grand Cherokee;positivo;;molto positivo;;;;;;;;;;
lexus e motor show;https://forum.quattroruote.it/threads/lexus-e-motor-show.40356/;07/11/2010 00:00;sov;;salve a tutti qualcuno ha notizie se quest'anno lexus esporrà a bologna ? ;Lexus;;neutro;;;;;;;;;;;;
Grande Punto: Restyling 2008;https://www.autopareri.com/forums/topic/24252-grande-punto-restyling-2008?&page=6#comments;09/10/2007 19:40;aSSo®;;Questa è una sport nuova di pacca presa dal forum sulla gp ha persino i nuovi stemmini rossi e ha i montanti nero-lucidi Non so se è una cosa comune a tutti gli allestimenti ;Fiat;Grande Punto;positivo;;;positivo;;;;;;;;;
