Titolo;URL;Timestamp;User;(Testo Citato);TESTO;Costruttore;Modello;Sentiment;Brand;Interni;Esterni;Meccanica;Prestazioni;Consumi/Autonomia;Motore;Elettrico;Fuoristrada;Elettronica di Bordo;Manutenzione;Assistenza/Concessionari
Gomme invernali su Mokka - Casino!;https://forum.quattroruote.it/threads/gomme-invernali-su-mokka-casino.99883/;26/10/2015 00:00;fbollei;;Boh pensavo che i possessori di Mokka le misure le sapessero. Eccole cmq: 205/70 R16 ( barra 70 ? mah ) 215/60 R17 215/55 R18. Le estive sono 215/55 R18. ;Opel;Mokka;negativo;;;;negativo;;;;;;;negativo;
"159 2.2 JTS: ""demolita"" su Automobilismo";https://www.bmwpassion.com/forum/threads/159-2-2-jts-demolita-su-automobilismo.13669/page-3;23/05/2003 00:00;El Nino;;Test di AutoMotorUndSport ;Alfa Romeo;159;negativo;;;;;molto negativo;;;;;;;
Trazione Alfa Romeo;https://forum.quattroruote.it/threads/trazione-alfa-romeo.84/page-7;06/04/2009 00:00;156jtd.;"ezio12 ha scritto: riguardo alla TP ci sarebbe da aggiungere una considerazione non trascurabile: il diverso comportamento della ta e tp sul bagnato: quando in autostrada e sui rettilinei in gener edelle strade una TP incontra pozzanghere le ruote anteriori che non hanno la trazione non tendono a dare contraccolpi sullo sterzo e a perdere aderenza; fanno quindi spazio allontanando l'acqua come la prua di una nav alle ruote posteriori che avendo la trazione fanno poi migliore presa sulla strada liberata dalla pioggia da quelle anteriori. (jho sperimentato di persona questa situazione con la sierra ventennale che ancora possiedo e con la vecchia mercedes 190). AL contrario una TA sulle pozzanghere deve ovviamente tagliare l'acqua con le ruote anteriori che pero' avendo anche la trazione fanno meno presa sul'acqua stressa causando contraccolpi sullo sterzo e spostamenti improvvisi dell'avantreno che costringono la massima presa e forza delle mani sullo sterzo stesso e atenzione a non perdere aderenza. ( e nelle TA piu' i PNEUMATICI SONO LARGHI piu' viene amplificato questo contrattempo..... pertanto su strada fortemente bagnata e con ristagno d'acqua tutte le TA in rettilineo si comportano IN MODO MOLTO PIU' PROBLEMATICO E IMPEGNATIVO delle TP pER QUANTO RIGUARDA IL COMPORTAMENTO IN CURVA le TP di oggi aiutate dall'elettronica hanno assicurato sicurezza e facilità di guida anche a quegli automobilisti meno esperti che si troverebbero istintivamente piu' a loro agio con una TA.( come giustamente spiegato dall'ingegner coppini)... Appunt Con l'elettronica la Tp si avvicina(senza eguagliare quella Alfa) in quanto a sicurezza ad una Ta ma diventa inutile e inutilmente piu costosa.... non è affatto vero; è uguale all'alfa e a tutte le TA come l'alfa; guidati una bmw di oggi in curva sul baganto e vedrai che non si muove come su un binario. ma la tp è superiore in tutto il resto anche se è uguale alla ta in curva. "" ezio12 ha scritto: riguardo alla TP ci sarebbe da aggiungere una considerazione non trascurabile: il diverso comportamento della ta e tp sul bagnato: quando in autostrada e sui rettilinei in gener edelle strade una TP incontra pozzanghere le ruote anteriori che non hanno la trazione non tendono a dare contraccolpi sullo sterzo e a perdere aderenza; fanno quindi spazio allontanando l'acqua come la prua di una nav alle ruote posteriori che avendo la trazione fanno poi migliore presa sulla strada liberata dalla pioggia da quelle anteriori. (jho sperimentato di persona questa situazione con la sierra ventennale che ancora possiedo e con la vecchia mercedes 190). AL contrario una TA sulle pozzanghere deve ovviamente tagliare l'acqua con le ruote anteriori che pero' avendo anche la trazione fanno meno presa sul'acqua stressa causando contraccolpi sullo sterzo e spostamenti improvvisi dell'avantreno che costringono la massima presa e forza delle mani sullo sterzo stesso e atenzione a non perdere aderenza. ( e nelle TA piu' i PNEUMATICI SONO LARGHI piu' viene amplificato questo contrattempo..... pertanto su strada fortemente bagnata e con ristagno d'acqua tutte le TA in rettilineo si comportano IN MODO MOLTO PIU' PROBLEMATICO E IMPEGNATIVO delle TP pER QUANTO RIGUARDA IL COMPORTAMENTO IN CURVA le TP di oggi aiutate dall'elettronica hanno assicurato sicurezza e facilità di guida anche a quegli automobilisti meno esperti che si troverebbero istintivamente piu' a loro agio con una TA.( come giustamente spiegato dall'ingegner coppini)... Appunt Con l'elettronica la Tp si avvicina(senza eguagliare quella Alfa) in quanto a sicurezza ad una Ta ma diventa inutile e inutilmente piu costosa. ""riguardo alla TP ci sarebbe da aggiungere una considerazione non trascurabile: il diverso comportamento della ta e tp sul bagnato: quando in autostrada e sui rettilinei in gener edelle strade una TP incontra pozzanghere le ruote anteriori che non hanno la trazione non tendono a dare contraccolpi sullo sterzo e a perdere aderenza; fanno quindi spazio allontanando l'acqua come la prua di una nav alle ruote posteriori che avendo la trazione fanno poi migliore presa sulla strada liberata dalla pioggia da quelle anteriori. (jho sperimentato di persona questa situazione con la sierra ventennale che ancora possiedo e con la vecchia mercedes 190). AL contrario una TA sulle pozzanghere deve ovviamente tagliare l'acqua con le ruote anteriori che pero' avendo anche la trazione fanno meno presa sul'acqua stressa causando contraccolpi sullo sterzo e spostamenti improvvisi dell'avantreno che costringono la massima presa e forza delle mani sullo sterzo stesso e atenzione a non perdere aderenza. ( e nelle TA piu' i PNEUMATICI SONO LARGHI piu' viene amplificato questo contrattempo..... pertanto su strada fortemente bagnata e con ristagno d'acqua tutte le TA in rettilineo si comportano IN MODO MOLTO PIU' PROBLEMATICO E IMPEGNATIVO delle TP pER QUANTO RIGUARDA IL COMPORTAMENTO IN CURVA le TP di oggi aiutate dall'elettronica hanno assicurato sicurezza e facilità di guida anche a quegli automobilisti meno esperti che si troverebbero istintivamente piu' a loro agio con una TA.( come giustamente spiegato dall'ingegner coppini)""";ci sonmo fior fiori di test che invece vedono l'alfa 159 ( e non solo ) imbattibile tra le curve e sul bagnato nelle prove dinamiche e comportamento stradale ! ! ! E questi sono test effettuati con tanto di apparecchi per controllare i dati e non vanno a sensazioni ;Alfa Romeo;159;positivo;;;;positivo;positivo;;;;;;;
Mercedes-Benz SLC 2016;https://www.autopareri.com/forums/topic/60063-mercedes-benz-slc-2016?&page=4#comments;18/02/2016 10:47;poliziottesco;;Concordo con i commenti negativi pero'...siete sicuri che non venda ? A me sembrava di ricordare che a differenza di Z4 la SLK ( ora SLC ) venda bene seppur nei limiti del segmento. ;Mercedes;SLC 2016;negativo;negativo;;;;;;;;;;;
La Prius V4 e suo tanto chriticato design;https://forum.quattroruote.it/threads/la-prius-v4-e-suo-tanto-chriticato-design.112553/page-3;02/10/2017 00:00;derblume;;Auris e Prius comunque non sono la stessa cattegoria come una BMW Serie1 non é come una BMW Serie3 ! perche sono due cattegorie diverse ( C e D ) . La Prius é paragonabile alla Passat Avensis Mazda 6 e Mondeo. Prius 1 8 Active 29.250 -- / Ford Mondeo 1 5 TDCi ( 5P ) 30.000 -- / VW Passa berlina 1 6 TDi 28.950 --/SW 29.950 -- / Mazda 6 berlina 32.350 --/SW 32.350 -- ecco i prezzi delle versioni base. la macchina piu economica della categoria é la Skoda Octavia con 23.760 -- e poi c'é ovviamente anche la Hyundai Ioniq a 25.150 -- a parte della Ioniq e Prius i altri sono ancora tutti col cambio manuale a questo prezzo. E a parte della Prius tutti altri avranno presto bisogno di agiornamenti per i polveri sottili ! ;Toyota;Prius;positivo;;;;positivo;;;;;;;;
CONCESSIONARI/OFFICINE in e OUT divise per Regioni;https://www.bmwpassion.com/forum/threads/concessionari-officine-in-e-out-divise-per-regioni.39118/page-10;23/10/2008 00:00;Ceskuz;;Penso anche io . ;;;;;;;;;;;;;;;
Ford Kuga I (Topic Ufficiale -  2008);https://www.autopareri.com/forums/topic/26112-ford-kuga-i-topic-ufficiale-2008?&page=9#comments;08/10/2012 11:30;Marcom80;;no praticamente è la parte che va sotto il sedile..ma non è strappata ho visto bene e si è sganciato dalla sede ad incastro solo he io non riesco a tirarla per farla venire più giu perchè deve fare un semi arco per andare nella sede ma sembra corta il sedile è tutto ok... ;Ford;Kuga;neutro;;negativo;;;;;;;;;;
[USA] Ford Flex (Range Rover Sport pressato);https://www.bmwpassion.com/forum/threads/usa-ford-flex-range-rover-sport-pressato.45006/;19/02/2007 00:00;luigi83;;Telaio e meccanica Range Rover Sport sulla nuova crossover Ford: ;Land Rover;Range Rover;neutro;;;;neutro;;;;;;;;
Potenza motori Mercedes..;https://www.autopareri.com/forums/topic/27035-potenza-motori-mercedes?&page=6#comments;03/02/2008 20:07;Davidtr;;cioè ? sostieni che la stessa macchina con maggiori prestazioni è svantaggiata ? motiva il tuo pensiero.. thx ;Mercedes;;neutro;;;;;neutro;;neutro;;;;;
Antifurto c3;https://forum.quattroruote.it/threads/antifurto-c3.106828/;31/10/2016 00:00;maxressora;;ma la Citroen non regala più un anno di polizza furto + un anno a metà prezzo ? è la soluzione migliore ;Citroen;C3;neutro;neutro;;;;;;;;;;;negativo
