Titolo;URL;Timestamp;User;(Testo Citato);TESTO;Costruttore;Modello;Sentiment;Brand;Interni;Esterni;Meccanica;Prestazioni;Consumi/Autonomia;Motore;Elettrico;Fuoristrada;Elettronica di Bordo;Manutenzione;Assistenza/Concessionari
Probrema al sensore del minimo Saxo 1.1.;https://forum.quattroruote.it/threads/probrema-al-sensore-del-minimo-saxo-1-1.96167/;10/05/2015 00:00;Salvatore95;;Salve a tutti sto riscontrando da alcuni mesi un problema al sensore del minimo della mia Saxo 1.1 ( vedi foto ) . Vorrei sapere se è possibile pulirlo e ripristinarne il funzionamento oppure se va cambiato direttamente. Grazie. Attached files /attachments/1949688=44450-mDXn1hQdmlbWnSSZlbpAYUw.jpg ;Citroën;Saxo;neutro;;;;;;;;;;neutro;neutro;
4ruote sbatte in prima pagina la 159!;https://www.autopareri.com/forums/topic/16480-4ruote-sbatte-in-prima-pagina-la-159;27/10/2005 21:18;carrera4;;forse hanno qualcuno che si è accorto che le vendite calavano... ;Alfa Romeo;159;negativo;;;;;;;;;;;;
Panda a metano;https://www.bmwpassion.com/forum/threads/panda-a-metano.38621/;23/05/2003 00:00;El Nino;"""ma una macchina cosi dove trova utilita'?""";http://www.quattroruote.it/prove_su_strada/sintesi.cfm ? CodProva=69330km con 1 euro... e lo spazio nel baule rimane invariato...13500 euro prezzo di listino meno 2000 euro di incetivi meno qualcosa di sconto ( suppongo ) almeno per arrotondare a cifra tonda... direi che non è niente male ! Ok che non va niente ma come macchina da città e extraurbano è l'ideale ! Piccola senza limitazioni di circolazione e consumi quasi inesistenti ! Oltretutto non costa nemmeno una follia ! Brava fiat ! ;FIAT;Panda;positivo;molto positivo;;;;negativo;molto positivo;;;;;;
Museo Alfa Romeo: finalmente il TAR ha respinto il vergognoso ricorso contro il vincolo.;https://forum.quattroruote.it/threads/museo-alfa-romeo-finalmente-il-tar-ha-respinto-il-vergognoso-ricorso-contro-il-vincolo.49441/page-268;15/08/2014 00:00;loopo;"fpaol68 ha scritto: angelo0 ha scritto: Ende gu alles gut. (All`s Well That Ends Well) da William Shakespeare :thumbup:... No caro Angel ancora non è finita. Il museo è sempre chiuso e fiat non ha a tutt'oggi ritirato il ricorso che è ancora pendente in tribunale. Sarà finita solo quando il museo sarà riaperto nella sua interezza senza che nessun pezzo della collezione sia stato venduto.... Carissimo Fpao io non vedo nessun male in un´ipotetica vendita di qualche esemplar purche rimanga nel muse esposto e ben curato. (ben vengano altri proprietari - sempre meglio di fiat - che sappino valorizzare e rispettare un loro bene di valore storico) Saluti ... È proprio questo il punto: il vincolo non impedisce la vendita impedisce lo smembramento della collezion ed è proprio su questo punto che verte il ricorso di fiat! Non credo siano molti interessati a spendere milioni di euro per la 159 di Fangio per non poterne avere la piena disponibilità! "" fpaol68 ha scritto: angelo0 ha scritto: Ende gu alles gut. (All`s Well That Ends Well) da William Shakespeare :thumbup:... No caro Angel ancora non è finita. Il museo è sempre chiuso e fiat non ha a tutt'oggi ritirato il ricorso che è ancora pendente in tribunale. Sarà finita solo quando il museo sarà riaperto nella sua interezza senza che nessun pezzo della collezione sia stato venduto.... Carissimo Fpao io non vedo nessun male in un´ipotetica vendita di qualche esemplar purche rimanga nel muse esposto e ben curato. (ben vengano altri proprietari - sempre meglio di fiat - che sappino valorizzare e rispettare un loro bene di valore storico) Saluti "" angelo0 ha scritto: Ende gu alles gut. (All`s Well That Ends Well) da William Shakespeare :thumbup:... No caro Angel ancora non è finita. Il museo è sempre chiuso e fiat non ha a tutt'oggi ritirato il ricorso che è ancora pendente in tribunale. Sarà finita solo quando il museo sarà riaperto nella sua interezza senza che nessun pezzo della collezione sia stato venduto. 'Ende gu alles gut. (All`s Well That Ends Well) da William Shakespeare :thumbup:'";Ciao Fpaol Si la questione del vincolo mi e' ben chiara. Per fortuna c'e'. Dico solo che darei il benvenuto all' idea di vedere magari qualche nuovo proprietario. Trattandosi di un museo ''dinamico'' non e' detto che anche se le ipotetiche vetture devono rimanere nel museo per il 90% del tempo non possano essere ''usate'' per -un esempio- una Mille Miglia.. Credo che di interessati con certe disponibilita' economiche ci sarebbero. Anche e perche' no potrebbe essere pure la provincia di Milano a comperare queste vetture. Il vincolo c'e' ed e' un bene ! E se questo viene rispettato l'idea di trovare nuovi proprietari mi piace. Tutto qui ;Alfa Romeo;;positivo;;;;;;;;;;;;
Scénic XMod - Topic Ufficiale;https://forum.quattroruote.it/threads/sc%C3%A9nic-xmod-topic-ufficiale.14456/page-87;27/03/2010 00:00;fparisi66;"Ciao a tutti. Sul libretto istruzioni d'us alla pagina 1. viene spiegata la ""chiusura ad effetto globale che consiste nel chiudere la vettura in una modalità che impedisce l'apertura delle portiere dall'intern per esempio nel caso di una tentata intrusione con rottura del vetro per aprire la portiera con la maniglia interna. Ben io non sono riuscito ad attivare questa chiusura! Ne pigiando il bottone 2 volte sulla maniglia estern ne sulla scheda... Ho fatto diverse prov premendo anche più delle 2 volte i botton ma non è successo nulla... Dall'interno la macchina si apriv facendo suonare l'antifurto. Le prove le ho ovviamente fatte con la collaborazione di mia mogli dato che dovevo stare in macchin senza avere indosso la tessera... Io la trovo una funzione interessant e vorrei che funzionass come descritto dal libretto! Avete provato sulle vostre X-Mod? Io ho una 2.0 dci luxe.... io l'ho usata questa mattina con mio figlio da assistente e funziona. ho una 1.9 luxe 'Ciao a tutti. Sul libretto istruzioni d'us alla pagina 1. viene spiegata la ""chiusura ad effetto globale che consiste nel chiudere la vettura in una modalità che impedisce l'apertura delle portiere dall'intern per esempio nel caso di una tentata intrusione con rottura del vetro per aprire la portiera con la maniglia interna. Ben io non sono riuscito ad attivare questa chiusura! Ne pigiando il bottone 2 volte sulla maniglia estern ne sulla scheda... Ho fatto diverse prov premendo anche più delle 2 volte i botton ma non è successo nulla... Dall'interno la macchina si apriv facendo suonare l'antifurto. Le prove le ho ovviamente fatte con la collaborazione di mia mogli dato che dovevo stare in macchin senza avere indosso la tessera... Io la trovo una funzione interessant e vorrei che funzionass come descritto dal libretto! Avete provato sulle vostre X-Mod? Io ho una 2.0 dci luxe.'";"O bella... Proprio non capisco... E fai come dice il manuale suppongo... Un ""doppio click"" sul tasto di chiusura della portiera o del telecomando ? Io ho notato che facendo il ""doppio click"" si chiudono i finestrini se sono rimasti aperti e fa i soliti 2 lampeggi per segnalare la chiusura. Ma non me ne ha mai fatti 5 per segnalarmi la chiusura globale... Hai per caso nel menu delle impostazioni una voce a proposito ? ";Renault;Scénic;neutro;;;;;;;;;;neutro;;
Indovinello per porschisti assatanati...!!!;http://www.porschemania.it/discus/messages/815/776992.html?1533940437;23/04/2016 23:11;gio1965;;Spa 1970.n 24 siffert redman winner.;Porsche;;neutro;;;;;;;;;;;;
Dossi artificiali;http://www.porschemania.it/discus/messages/502415/741220.html?1432818737;25/05/2015 17:16;kalandra;;No problem....ma vacci piano;;;neutro;;;;;;;;;;;;
Fiat 124 Spider 2016;https://www.autopareri.com/forums/topic/59843-fiat-124-spider-2016?&page=151#comments;09/05/2017 08:43;TonyH;;Ma ci provano almeno a venderle ? Che stante le nuove politiche di obiettivi più bassi nella recente esperienza ai concessionari FCA la voglia di sbattersi è scesa ulteriormente. Gli bastano Tipo 500L e Panda che si vendono da sole.... e quelle che vendono è perché in Mazda é ancora più difficile farsi vendere la Mx-5 ;FIAT;124 Spider;negativo;;;;;;;;;;;;molto negativo
New FIAT show car;https://www.bmwpassion.com/forum/threads/new-fiat-show-car.17878/page-2;23/05/2003 00:00;El Nino;'di giugiaro si è visto anche il risultato con la sua ultima ferrari...';Bruttina la DB7 Zagato ? ? ? ? ? ? ? ? ? ? ? ? ? ? IMHO è un capolavoro di stile ed eleganza ! Una delle auto più belle mai prodotte ! P.S: Ho messo solo vetture del gruppo Fiat altrimenti ne avrei dovute aggiungere un bel pò ! ;Aston Martin;DB7 Zagato;positivo;;;molto positivo;;;;;;;;;
La nuova Dino si farà?;https://www.autopareri.com/forums/topic/20825-la-nuova-dino-si-far%C3%A0?&page=14#comments;09/05/2007 18:39;Regazzoni;;"Si direbbe proprio un vecchio prototipo della Granturismo ( di quelli con il gobbone ) a cui è stata tolta parte della cammuffatura: si vede bene il buco del faro triangolare con dentro due faretti circolari provvisori proprio come sui vecchi muletti. La cammuffatura ""pezzata"" e la differente prospettiva fanno sembrare diversi i due posteriori. ";Maserati;Granturismo;neutro;;;neutro;;;;;;;;;
