Titolo;URL;Timestamp;User;(Testo Citato);TESTO;Costruttore;Modello;Sentiment;Brand;Interni;Esterni;Meccanica;Prestazioni;Consumi/Autonomia;Motore;Elettrico;Fuoristrada;Elettronica di Bordo;Manutenzione;Assistenza/Concessionari
"Ciao vorrei un parere sul finanziamento  ""Idea Ford""";https://forum.quattroruote.it/threads/ciao-vorrei-un-parere-sul-finanziamento-idea-ford.114070/;23/01/2018 00:00;alfalele;"'Buonaser pure per m proposta di un finanziamento ""idea ford ma con la seguente differenza: Su un prezzo finale di circa 16.500€: - piccolo anticipo di 1900€ - per due anni non pago niente - finale con riscatt cambio oppure ri-finanzio l'intero importo naturalmente tutto con v.g.f. Sinceramente la cosa mi ""puzza""....aiutatem grazie mille.'";:-D non paghi niente nel senso che la rata è piccola per i primi due anni..che poi dovrebbero essere tre..e tra l'altro di solito questi finanziamenti si fanno con 0 anticipo.. ;Ford;;negativo;negativo;;;;;;;;;;;
Comportamento anomalo Ford focus 1.6 tdci 90 cv ( anno 2006 );https://forum.quattroruote.it/threads/comportamento-anomalo-ford-focus-1-6-tdci-90-cv-anno-2006.48095/;20/03/2011 00:00;Eldinero;"""mi pare difficile che si sia staccato qualcos l'egr puoi provare a smontarla e pulirl ma vai per tentativi però cos sarebbe bene capire qual è il problema. per la wastegate non puoi fare altro che vedere se simuove bene e vplemente senza scatt invece la valvola di comando la puoi solo cambiare""";Dove è posizionata la westegate sul 90 cv ? Se la dovessi cambiare quanto costerebbe questo intervento in Ford ? Il problema alla westegate potrebbe causare problemi alla turbina se non cambiata ? Grazie per la tua disponibilità ;Ford;Focus;neutro;;;;neutro;;;;;;;neutro;neutro
Online il sito dell'ecobonus per auto elettriche;https://www.forumelettrico.it/forum/online-il-sito-dell-ecobonus-t4943-340.html?sid=053f872f8b7b19de0856815c966834f2&sid=053f872f8b7b19de0856815c966834f2;25/04/2019 13:16;sl45h;;esattamente devi essere proprietario dell'auto che rottami... altrimenti sarebbe troppo facile... sl45h;;;neutro;;;;;;;;;;;;
Cosa ne dite della serie 3 Compact ?;https://forum.quattroruote.it/threads/cosa-ne-dite-della-serie-3-compact.111897/;19/08/2017 00:00;SirPatrick;;Mai dire mai... ;;;neutro;;;;;;;;;;;;
Fiat Tipo 2016;https://www.autopareri.com/forums/topic/58449-fiat-tipo-2016?&page=17#comments;21/05/2015 19:19;Bosco;;"Intanto asfalterei chi ha cacciato fuori la moda dei cerchi bicolore ( francesi ? booo ) . Il suo stile esteriore non so perchè ma non c'è lo vedo bene per una Fiat sarà che in tutti questi anni ci ha abituati ad uno stile diverso più pacioso e meno ""dettagliato"" come questo. Già mi immagino il povero turco che si appresta a perdere mezza giornata e un paio di spugne per lavare via lo sporco dalla mascherina .... Nel complesso comunque è gradevole per la sua categoria. I fanali posteriori sembrano la P della Punto ( già detto da qualcuno ) . ";Fiat;Tipo;negativo;;;negativo;;;;;;;;;
Alfa Romeo al 77° Salone Internazionale di Ginevra 2007;https://www.autopareri.com/forums/topic/22354-alfa-romeo-al-77%C2%B0-salone-internazionale-di-ginevra-2007?&page=4#comments;06/03/2007 13:40;andre;;Rifatevi gli occhi ! http://www.autoblog.it/post/7368/alfa-romeo-8c-competizione-nera ;Alfa Romeo;;positivo;;;molto positivo;;;;;;;;;
Retroscena sui freni del Duster e prova Autoplus;https://forum.quattroruote.it/threads/retroscena-sui-freni-del-duster-e-prova-autoplus.29515/;12/05/2010 00:00;agusmag;"""se non sbaglio si pensa che il problema non sia la soluzione tecnica (tamburi) quanto la realizzazione. comunque sono d'accordo che chiunque spenderebbe anche 500 euro in più per i dischi (che poi son tropp ne basterebbero la metà) tra pagare 17.000 euro e 17.250 non mi pare il caso...""";Secondo me i problemi sono anche sulla soluzione tecnica. Nell'altro threadd ho messo la prova di Autobild del Duster in cui vi sono sia le prove a caldo che quelle a freddo. ;Dacia;Duster;negativo;;;;negativo;;;;;;;;
1.5 DCI...a quanti km siete arrivati? problemi riscontrati?;https://forum.quattroruote.it/threads/1-5-dci-a-quanti-km-siete-arrivati-problemi-riscontrati.55901/page-9;03/06/2015 00:00;Gironzolatore;;Kangoo 1500 DCI 80 CV 2003 km 160.000 sostituzione 3 volte puleggia alternatore con rottura di 1 cinghia x inchiodamento puleggia 1 Rottura alternatore ( sostituito 180 euro revisionato ) della scocca con rimorchio su autostrada 1 rottura compressore aria condizionata ( si inchiodava un attimo e poi tutto regolare ) con sostituzione ma per capire cosa fosse ho tribolato 2 mesi in quanto si bloccava ogni tanto e faceva saltare la fase sgranando di un dente la cinghia distribuzione e non andava piu in moto Rottura servosterzo e sostituzione 700 euro olio non ne consuma nemmeno una goccia ora sussulta a bassi regimi il meccanico dice che trattasi della valvola EGR intasata da verificare consumi bassissimi ;Renault;;neutro;;;;;;molto positivo;positivo;;;;negativo;
Aiutooo Fari non si spengono più...;https://www.bmwpassion.com/forum/threads/aiutooo-fari-non-si-spengono-pi%C3%B9.55657/;29/04/2007 00:00;atd1963;;Ragazzi questa sera prendo l'auto accendo i fari e parto mi fermo al bar giro l'interruttore dei fari e noto che rimaneva illuminato tutto il quadro strumenti.Ho cercato girando e rigirando il comando ma nulla rimangono sempre accesi i fari di posizione non è un grosso problema perchè cmq quando tolgo la chiave si spegne tutto ma avete idea di cosa possa essere ? qualche fusibile ? il devialuci ? ( Spero di no costerà sicuramente un botto ) Ragazzi aiutatemi a risolvere questo piccolo problemino. ;;;neutro;;;;;;;;;;neutro;negativo;
frizione saltellante;https://forum.quattroruote.it/threads/frizione-saltellante.116716/;23/05/2018 00:00;pi_greco;;Stamani il punto di assistenza Subaru mi ha confermato che la frizione a secco patisce l'umidità me ne ero accorto lasciando fuori l'auto in queste giornate umide. Saltella specialmente a freddo ma solo partendo in prima dice che la casa attribuisce al tipo di materiale usato... ma possibile che si perdano in queste piccolezze ? ;Subaru;;negativo;;;;negativo;;;;;;;;
Kia Soul I Facelift (Topic Ufficiale - 2011);https://www.autopareri.com/forums/topic/42769-kia-soul-i-facelift-topic-ufficiale-2011;20/04/2011 15:45;Asderio;;ma....hanno preso i fari anteriori della serie 6 nuova ? ? ;Kia;Soul;negativo;;;negativo;;;;;;;;;
Civic Type R 2017;https://forum.quattroruote.it/threads/civic-type-r-2017.110133/page-19;31/08/2017 00:00;Jazzaro;;Decisamente notevole. ;Honda;Civic;positivo;;;;;;;;;;;;
