Titolo;URL;Timestamp;User;(Testo Citato);TESTO;Costruttore;Modello;Sentiment;Brand;Interni;Esterni;Meccanica;Prestazioni;Consumi/Autonomia;Motore;Elettrico;Fuoristrada;Elettronica di Bordo;Manutenzione;Assistenza/Concessionari
"Kimi Raikkonen ""Ambasciatore Alfa Romeo nel mondo""?";https://forum.quattroruote.it/threads/kimi-raikkonen-ambasciatore-alfa-romeo-nel-mondo.118382/;11/09/2018 00:00;ALGEPA;;Non so bene cosa consiste essere ambasciatori di un marchio se il tutto si ferma a fare foto e spot ce lo vedo per operazioni di marketing più dinamiche non mi sembra una persona che ha grandi capacità comunicative che possano colpire ssoprattutto il mondo giovanile ;Alfa Romeo;;negativo;;;;;;;;;;;;
159 2.2 jts su automobilismo;https://www.autopareri.com/forums/topic/14769-159-22-jts-su-automobilismo?&page=59#comments;19/08/2005 23:22;il FUSI;;"Da un certo punto di vista posso concordare con te...... nel senso che in effetti parte della clientela non se ne può fregare di meno dell'origine dei motori.......... Però a sti punti diciamo chiaro che l'Alfa oggi viene volutamente snaturata. Basta essere chiari e coerenti: si dica che Alfa è solamente un brand e viene considerato come solo un brand svincolato da qualsiasi aderenza oggettiva a valori che quel brand ha rappresentato e che comunque nell'immaginario rappresenta e ci dicano chiaro che per loro va bene rimarchiare una Zastava con il marchio Alfa basta che sia bella di linea e sta bene di sale. Però quà mi pare che si pretenda un po' troppo ovvero forzare la realtà dando degli incompetenti a chi contrappone a discorsi dei fatti e delle opinioni o impressioni radicate. E comunque voglio credere e lo vedo che di interesse verso ""di cosa è composta"" un'Alfa Romeo ce ne sia. Esistono marchi per cui un discorso ""qualsiasi cosa sia va bene"" per Alfa no. ";Alfa Romeo;;negativo;negativo;;;;;;;;;;;
Porsche Taycan: tutti i numeri (o quasi) della berlina elettrica - HDmotori.it;http://www.hdmotori.it/2018/07/30/porsche-taycan-dettagli-info-potenza-autonomia/;31/07/2018 12:04;Tom Smith;;Appunto questo è il problema tesla dovrebbe affittarlo ad alcune compagnie secondo me tanto più che è sproporzionato rispetto alla flotta di tesla;Porsche;Porche Taycan;neutro;;;;;;;;neutro;;;;
Sprint booster Equipe Torino;http://www.porschemania.it/discus/messages/502415/685601.html?1442167302;18/06/2014 17:08;alessmacc;;Strano che Vittorio non lo avesse gi\xe0 montato ! ! Non mi sembra il tipo che non gradisce il pepe ! ! ;;;neutro;;;;;;;neutro;;;;;
Serbatoio 40 litri Audi a4 B9;https://forum.quattroruote.it/threads/serbatoio-40-litri-audi-a4-b9.120413/;22/01/2019 00:00;Ripeps53;;"Il serbatoio AdBlue maggiorato lo fanno pagare 70 euro che barboni ! <img alt=""Senza titolo-1.jpg"" class=""bbCodeImage LbImage"" src=""https://forum.quattroruote.it/attachments/senza-titolo-1-jpg.9203/""/>";Audi;a4;negativo;;neutro;;;;;;;;;;
singer;https://forum.quattroruote.it/threads/singer.113304/page-2;18/11/2017 00:00;A-80;"'A bene... ma mi era parso di capire che invece ti appassionassero aut come dir ""dure e pure"".... proprio come la Porsche-Singer in questione. .'";Si quello sì ma portarle come devono essere portate non credo sia alla mia portata . Infatti anche quando mi diletto su qualche supercar sono sempre guide nei limiti del normale ( ovviamente ) . Però indubbiamente mi piacciono i veicoli da appassionati in senso assoluto . E questa mi sarebbe caro averla in garage come auto da diletto ;Porsche;Singer;neutro;;;;;;;;;;;;
SUBARU Xv  chi c'è l'ha e come va ?;https://forum.quattroruote.it/threads/subaru-xv-chi-c%C3%A8-lha-e-come-va.73711/page-7;20/01/2015 00:00;U2511;;"Il 1.6 gpl mi pare un po' ""fermino"" specie in rapporto al motore da cui provieni. Hai dato un'occhiatra a spritmonitor per farti una prima idea dei consumi tenendo conto che chi si iscrive su spritmonitor è generalmente uno che proprio per l'attenzione che presta ai consumi tende a fare buone percorrenze ? ";Subaru;Xv;negativo;;;;;negativo;neutro;;;;;;
Rally di Monte-Carlo 2018;https://forum.quattroruote.it/threads/rally-di-monte-carlo-2018.114219/;11/01/2018 00:00;mani in alto;;Per distacco intendevo la quantitá di tempo se arrivare ventesimi subito dietro le trazione integrale é positivo per il morale arrivare nella stessa posizione ma a parecchia distanza fa un pò meno bene psicologicamente almeno per gli spettatori. ;;;neutro;;;;;;;;;;;;
Cosa migliorare per farla andare?;https://forum.quattroruote.it/threads/cosa-migliorare-per-farla-andare.99250/page-2;20/10/2015 00:00;Marcato.alberto@gmail.com;;Buongiorno a tutti questi giorni sto trattando anch'io acquisto di una Lancia Y 1.2 per mia moglie. L'auto è in allestimento Elle quindi super accessoriata. Andremo a trovarla ma so per certo che quei 5/10 minuti non mi toglieranno mai il dubbio. Poi mi ricordo che quando ci siamo sposati lei aveva una citroen AX 1000 E che con quell'auto senza aria condizionata siamo andati anche in vacanza e abbiamo fatto coda sotto il sole. Mia moglie usa l'auto per uso prettamente urbano ed extraurbano per circa 10.000 chilometri all'anno. L'automobile è bella con tutti quegli optional e a quel prezzo onestamente in giro non ho trovato nulla di più appetibile. Secondo me sarà legato all'inizio però magari facendoci un po' di strada qualche tiratina in autostrada e tangenziale si slegherà un po'. A quel punto con un filtro aria più performante e magari un ritocchino alla centralina il tutto si aggiusterà. Ripeto andremo a provarla e poi decideremo. ;Lancia;lancia Y 1.2;positivo;;;;;negativo;positivo;;;;positivo;;
Audi A5;https://www.bmwpassion.com/forum/threads/audi-a5.35660/page-9;13/09/2004 00:00;Emiliano;"""Sai tenere un segreto...? E' una foto anche questa!!! """;bisognerebbe smontare l'interno Audi e montarlo su una E92 ;Audi, BMW;A5, E92;positivo;;positivo;;;;;;;;;;
Alfa Romeo Giulia Quadrifoglio 2016;https://www.autopareri.com/forums/topic/58587-alfa-romeo-giulia-quadrifoglio-2016?&page=678#comments;21/12/2015 15:51;Pierpa;;Alfa Romeo Giulia Q.v. al Lingotto Fiere di Torino.Aggiornamenti:la produzione di essa parte il 11 Gennaio ordinabile 2 mesi dopo ovvero dopo il Salone di Ginevra insieme alle 2.0 TBI e 2.2 Jtdm. ( dal 16 marzo le Q.v. dal 20 le altre motivo di cio' legato ai fornitori ) .Ne produranno da tale data 30 ( ovviamente a regime saranno di piu' ) al Giorno ora sono 5 su linea temporanea.Le preserie che sono in giro sono 80 ( 50 2.2 jtdm e 30 2.0 tbi ) .Ovviamente i test continuano per arrivare perfette alla produzione. Fonte: la nota pagina facebook ;Alfa Romeo;Giulia Quadrifoglio 2016;neutro;;;;;;;;;;;;
