Titolo;URL;Timestamp;User;(Testo Citato);TESTO;Costruttore;Modello;Sentiment;Brand;Interni;Esterni;Meccanica;Prestazioni;Consumi/Autonomia;Motore;Elettrico;Fuoristrada;Elettronica di Bordo;Manutenzione;Assistenza/Concessionari
Cambio o frizione rotta?;https://forum.quattroruote.it/threads/cambio-o-frizione-rotta.109433/;20/03/2017 00:00;stefanocanale;;Vuoi un consiglio ? Rottamala al più presto possibile sennò nei prossimi mesi per sistemarla ci spenderai più soldi che comprarne una nuova ! ;;;negativo;;;;;;;;;;;molto negativo;
"Citroen C3 mk1 1.4 turbodiesel 70cv; cosa aspettarsi?";https://forum.quattroruote.it/threads/citroen-c3-mk1-1-4-turbodiesel-70cv-cosa-aspettarsi.100932/page-2;14/12/2015 00:00;Dyavel;"'il 1.4 turbo diese anche da solo 70 C specialmente senza FA va molto meglio del 1.2 benzina da 60 C perchè ha il doppio della coppia oltre a 10 Cv in più. chiaro che arrivato a 3500 giri finisce la spinta del turbo...ma personalment pur preferendo in linea di massima i benzin tra le due non c'è confront specialmnente in salita. imparare a cambiare ci metti mezz'or poi forse è un po' meno ""divertente"" come intendi tu perchè il benzina aumenta relativamente facilmente i giri fin quasi al ma mentre il td si ""pianta"" proprio ad un certo punt però in una cilindrata così piccola e con motori tutt'altro che sportivi/spint secondo me è sempre meglio altre auto: hai visto anche tu l'auto di tua mamma che con le recenti normative i motori sono sempre più soffocat quindi.....dovresti trovare una 106 rally...! 8)'";"Infatti la cosa dei motori ""soffocati"" mi preoccupa tutte le auto a benzina con normative euro recenti danno prima o poi problemi del genere ? Io adesso se potessi scegliere mi piacerebbe un benzina sui 90-95-100 cavalli mi andrebbe benissimo una Stilo come quella dell'annuncio postato da PalmerEldrich ";FIAT;Stilo;positivo;;;;;;;molto positivo;;;;;
Mondiale F.1 - GP del Giappone;https://forum.quattroruote.it/threads/mondiale-f-1-gp-del-giappone.118687/page-9;07/10/2018 00:00;pilota54;'chi fa sempre gli stessi errori deve esere rimosso dalla suma mansione.';"Quando nel 2014 siamo usciti fuori dal mondiale di calcio Prandelli diede le dimissioni....... E un allenatore di una grande squadra quando perde 3-4 gare di fila viene esonerato. La Ferrari oggi è arrivata ultima perchè il 5° e 6° posto della gara principale quella dei top6 significa penultimo e ultimo. Ci vuole uno che a un certo punto dica: ""Mettete le supersoft mi prendo io la responsabilità."" Non basta apparire ai microfoni ( con faccia distesa ) dicendo di essere ""seccato"". ""La squadra dopo il grave errore di ieri ha avuto una grande reazione: pit-stop perfetti...."". Queste le prime parole del TP nel dopo-gara.............. Poi ha aggiunto: ""Nonostante i danni riportati da Kimi e Seb la vettura andava forte purtroppo a causa di quei danni non abbiamo raggiunto il podio....”. E questo è vero anche se la macchina di Kimi è stata senza dubbio più danneggiata a parte poi le gomme sbagliate. ";Ferrari;;negativo;negativo;;;;molto negativo;;;;;;negativo;
Legge di stabilità..ecco perché Renzi si definisce rottamatore;https://www.bmwpassion.com/forum/threads/legge-di-stabilit%C3%A0-ecco-perch%C3%A9-renzi-si-definisce-rottamatore.243850/page-19;30/08/2006 00:00;Evo 74;"""Lo faranno sempre e cmq..mai una tassa é stata abolita o abbassata..quindi ognuno trova il rimedio che può..che poi alla fine sempre il sud ci rimette più di tutti..quindi alla fine le popolazioni del sud qualche colpa c'è l'hanno anzi c'è l'abbiamo perché mi ci metto pure io. Quindi il problema dell'Italia non sono gli italiani..tutti..Ma sono alcuni italiani...""";Ma si puo' fare ? Usare un auto intestata ad altra persona residente all'estero ? E l'auto una volta all'anno non deve rientrare al paese di origine ? ;;;neutro;;;;;;;;;;;;
Alfa Romeo 4C;https://forum.quattroruote.it/threads/alfa-romeo-4c.74909/page-141;04/11/2014 00:00;albo89;;anche a me non piace io la lascerei senza.. ovviamente de gustibus se a francesco piace fa bene a metterlo ! ;Alfa Romeo;4C;negativo;;;;;;;;;;;;
Jaguar XF (Topic Ufficiale - 2007);https://www.autopareri.com/forums/topic/20757-jaguar-xf-topic-ufficiale-2007?&page=44#comments;23/09/2008 09:42;Motron;;jag correggimi se sbaglio ma mi pare che jaguar non spinga quasi per nulla sulle flotte o auto aziendali come il trio tetesco.. no ? tra i maneger che scelgono l'auto aziendale potrebbe fare piu che bene.. d'altronde basta un colpo d'occhio per preferirla secondo me.. ;Jaguar;XF;positivo;molto positivo;;molto positivo;;;;;;;;;negativo
Volkswagen Polo 2017;https://www.autopareri.com/forums/topic/63283-volkswagen-polo-2017?&page=54#comments;08/09/2017 07:55;Cosimo;;e' cara ma ormai allineata con le altre. Dal vivo è grossa come una golf alla fine poco meno. ;Volkswagen;Polo;neutro;neutro;;positivo;;;;;;;;;
Alfa Romeo Giulia 2016;https://www.autopareri.com/forums/topic/60616-alfa-romeo-giulia-2016?&page=858#comments;19/07/2016 19:14;Nico87;;Costa il doppio di quella della giulietta. Per il resto sono tutti pezzi che a breve si troveranno anche di concorrenza quindi non possono calcare tanto la mano. E'nelle parti specifiche che bisogna vedere i prezzi. Ma il beige non luxury ( senza plancia in pelle ecc.. ) sarà disponibile ? ;Alfa Romeo;Giulila;neutro;neutro;;;;;;;;;;;
Renault Captur 2013;https://www.autopareri.com/forums/topic/53994-renault-captur-2013?&page=76#comments;04/11/2013 21:51;Losten;;"Va be'....posto che non mi va di comprare delle ruote da neve per 2 giorni all'anno che vado in montagna...a questo punto mi domando...ma i vantaggi delle ruote da 17 rispetto alle 16 secondo voi si ""sentono"" o è solo un fatto di estetica ? Quasi quasi anche considerato il costo dei pneumatici in caso di sostituzione chiedo alla concessionaria se possiamo ""ritoccare"" l'ordine. Che io sappia la ruota più grande migliora aderenza comfort ( sente meno le buche ) e un po la velocità a parità di giri/rapporto....che dite ? ...baggianate ? Ciao a tutti ";Renault;Capture;positivo;;;;;;;;;;;;
Test drive Civic 1.6 d;https://forum.quattroruote.it/threads/test-drive-civic-1-6-d.116121/page-8;15/08/2018 00:00;rphal99;;"Dopo che ho letto questo thread e specialmente le spiegazioni di Jazzaro sono ancora più soddisfatto di aver comprato il ""vecchio"" diesel senza il SCR. Intanto io giro principalmente in autostrada o superstrada cosi di eventuali blocchi non me ne può fregar di meno e se dopo dieci anni non valerà più niente ormai lei ha dato tutto è io sarò nella pensione ( sperem ) . ";Honda;Civic;positivo;molto positivo;;;;;;molto positivo;;;;;
