Titolo;URL;Timestamp;User;(Testo Citato);TESTO;Costruttore;Modello;Sentiment;Brand;Interni;Esterni;Meccanica;Prestazioni;Consumi/Autonomia;Motore;Elettrico;Fuoristrada;Elettronica di Bordo;Manutenzione;Assistenza/Concessionari
Alfa Romeo 4C 2013;https://www.autopareri.com/forums/topic/56324-alfa-romeo-4c-2013?&page=657#comments;17/11/2013 14:59;TonyH;;La batteria è una massa sospesa i cerchi sono masse non sospese. I secondi hanno effetti amplificati a parità di snellimento. ;Alfa Romeo;4C;neutro;neutro;;;neutro;;;;;;;;
Volkswagen Up! 2011;https://www.autopareri.com/forums/topic/44234-volkswagen-up-2011?&page=102#comments;21/12/2012 14:17;Cosimo;;Mah io son stato sulla puntazza e mi pare che cammini più che dignitosamente. Sent from my minchia Phone using Tapatalk ;Volkswagen;Up;positivo;;;;;positivo;;;;;;;
Nuova Kia Rio 2011;https://forum.quattroruote.it/threads/nuova-kia-rio-2011.53302/page-128;21/05/2012 00:00;tudoros;;Salve a tutti. Volevo chiedervi se tra di voi c'è qualcuno che ha smontato la lanpadina a siluro delle luci di cortesia centrale della LX 1.2. Siccome vorrei canbiare con delle lanpadine a led la luce di cortesia centrale la luce targa e il vano bagagli. Sapete che misura hanno queste lanpadine ? ( luce di cortesia targa e vano bagagli. Una domanda: mi potrebbe segnalare l'anomalia luci nel computer di bordo ? Posso metterle senza nessun problema ? Grazie a tutti ! ;Kia;Rio;neutro;;;;;;;;;;neutro;neutro;
bmw 850i officina bmw.che fare?;https://www.bmwpassion.com/forum/threads/bmw-850i-officina-bmw-che-fare.150329/;05/11/2005 00:00;bonatom;;ragazzi ho un enorme problema. Il centro bmw mini a me più vicino ( non dico il nome per correttezza almeno per il momento ) non riesce a risolvere il problema della mia bmw. Dopo due mesi con entra ed esci della mia auto da questa benedetta officina mi trovo con un pugno dii mosche in mano con spallucce dei meccanici che non riescono a capire e risolvere il problema. il problema ? i freni.L'auto dopo un utilizzo su strada urbana con un sollecito dei freni oserei dire normalissimo tende a rimanere frenata dapprima con un indurimento del pedale del freno e poi con un bloccaggio della ruote che rimangono frenate. tutto si risolve lasciando l'auto a riposo per una ventina di minuti e le ruote magicamente si sbloccano..insomma direi che il tutto succede a caldo..... in questa officina autorizzata hanno già fatto la revisione dell'impianto frenante ( pistoncini ecc ) e sostituito un ricambio che distribuisce la pressione ma NIENTEEEEEEE. iL PROBLEMA PERSISTE e ho già speso 500 euro.Ora mi hanno addirittura comunicato che contatteranno la bmw italia per vedere se sono stati riscontrati altri problemi come questo in precedenza... sinceramente tutto ciò mi sembra assurdo.Cavolo parliamo dei freni.......cosa mi consigliate ? avete avuto un problema simile ? aiutatemi ;BMW;Serie 8;negativo;;;;negativo;;;;;;;negativo;negativo
Un cliente da 5 anni e mezzo per la Renault non è nessuno;https://forum.quattroruote.it/threads/un-cliente-da-5-anni-e-mezzo-per-la-renault-non-%C3%A8-nessuno.110409/;15/01/2018 00:00;ottobre_rosso;;ma ti hanno fatto sapere le motivazioni della mancata riparazione/sostituzione ? in qualche modo reputano voi/tua moglie responsabili del guasto ? ;Renault;;neutro;;;;;;;;;;;neutro;
Richiamo Ibiza 2010-2014 TDI;https://forum.quattroruote.it/threads/richiamo-ibiza-2010-2014-tdi.92233/;17/11/2014 00:00;Marco.Scarpa;'http://www.informazione.it/c/757E3F52-157E-4BBF-8506-D3402BD4AA6F/Allarme-Seat-richiamato-il-modello-Ibiza';Verificate col vostro service se la vostra macchina è compresa nel richiamo. ;Seat;Ibiza;neutro;;;;;;;;;;;neutro;neutro
Vista dal vivo;https://forum.quattroruote.it/threads/vista-dal-vivo.60102/;06/01/2012 00:00;mayo89;;Io ho avuto il piacere di provarla 10 min. Che Bel mezzo ! ! ;;;positivo;;;;;;;;;;;;
Mi Hanno Rubato La A4 :(;https://www.bmwpassion.com/forum/threads/mi-hanno-rubato-la-a4.32174/page-4;15/10/2006 00:00;cobra11320;"""e si ma se la usano poi c'e' tutto un casino...ti ricordi a Genova cos'era successo quando il poliziotto per difendersi ha sparato a quel ragazzo? quasi l'hanno messo in gabbia! dove e' sta giustizia?""";io nn ci terrei fossi al posto tuo a riavere l'auto... bisogna vedere come la ritrovi... ;Audi;A4;negativo;;;;;;;;;;;;
CICALINO CINTURE PROBABILE ROTTURA SENSORE!! sportback 1800;https://forum.quattroruote.it/threads/cicalino-cinture-probabile-rottura-sensore-sportback-1800.14941/;01/12/2010 00:00;domenico11031955;;ciao roby mi avevi chiesto come sono le punterie del lancer.... quelle di aspirazione sono da registrare quelle di scarico sono automatiche spero di averti fatto cosa gradita ciao ;;;neutro;;;;neutro;;;;;;;neutro;
Octavia: la più venduta in Svizzera;https://forum.quattroruote.it/threads/octavia-la-pi%C3%B9-venduta-in-svizzera.114646/;02/02/2018 00:00;pi_greco;"'E non è che siano zone disabitate; gente ce ne è!'";e ce ne sono pure tanti che viaggiano a metano... dato che hanno un listino ben nutrito ;Skoda;Octavia;positivo;positivo;;;;;;;;;;;
