Titolo;URL;Timestamp;User;(Testo Citato);TESTO;Costruttore;Modello;Sentiment;Brand;Interni;Esterni;Meccanica;Prestazioni;Consumi/Autonomia;Motore;Elettrico;Fuoristrada;Elettronica di Bordo;Manutenzione;Assistenza/Concessionari
Intervista a OF: Il fenomeno Lancia e la Delta che verrà;https://www.autopareri.com/forums/topic/24828-intervista-a-of-il-fenomeno-lancia-e-la-delta-che-verr%C3%A0?&page=4#comments;10/09/2007 09:16;Stefano73;;Quello lo si dice per alfa: ) ....cmq magari volare un pò flydown e fare una fulvia come dico sopra ben più economica di TT vista anche la derivazione da una B e non da una C.....ovvio solo ipotesi. ;Lancia;Fulvia;positivo;positivo;;;;;;;;;;;
La Fiat Coupè 20V Turbo di Gimmo;https://www.autopareri.com/forums/topic/46724-la-fiat-coup%C3%A8-20v-turbo-di-gimmo?&page=160#comments;10/09/2013 21:10;Beckervdo;;Se la cinghia ed i cuscinetti di rinvio stanno bene non cambiarli. Altrimenti cambia tutto dato che un botta secca sul parastrappi della puleggia dell'albero motore ( come accadrebbe se saltasse di netto la cinghia servizi ) potrebbe mandarti in mona la distribuzione. ;Fiat;Coupè;negativo;;;;negativo;;;;;;;negativo;
Chiusura centralizzata;https://www.bmwpassion.com/forum/threads/chiusura-centralizzata.330614/;31/01/2005 00:00;Mauretto;;ciao a tutti Possiedo una bmw 520 f11 touring del 2011 chiedo a voi se c’è la possibilità di chiudere le portiere con la centralizzata dopo alcuni minuti che si è scesi dall’auto ovviamente con le chiavi.Grazie a tutti ;BMW;Serie 5;neutro;;;;;;;;;;neutro;;
cosa vorreste in piu' da alfa romeo;https://www.autopareri.com/forums/topic/25923-cosa-vorreste-in-piu-da-alfa-romeo?&page=3#comments;09/11/2007 12:45;paolo147gta;;-Alla consegna la macchina non deve avere difetti -consegnarla con almeno 10 litri di carburante -fare macchine affidabili -usare materiali ( per interni ) resistenti e belli. -non scendere a troppi compromessi vedi quadrilatero. -servizio clienti oggi lo;Alfa Romeo;;neutro;;positivo;;positivo;;;;;;;;
Fiat Punto EVO (Topic Ufficiale - 2009);https://www.autopareri.com/forums/topic/34839-fiat-punto-evo-topic-ufficiale-2009?&page=64#comments;22/09/2009 16:36;_marlboro_;;vero ? il contrasto con il rosso e le plastiche nere la rende molto più sportiva della grande punto. La grande punto ha linee molto più semplici e gradite per un pubblico più adulto. ;Fiat;Punto;positivo;;;positivo;;;;;;;;;
Porsche Taycan: negli USA 3 anni di ricariche rapide incluse fino a 350 kW - HDmotori.it;http://www.hdmotori.it/2019/01/29/porsche-taycan-3-anni-ricariche-incluse-usa-350-kw/;29/01/2019 04:39;Ratchet;;TIO CAN ! ! ;Porsche;Taycan;negativo;;;;;;;;;;;;
Nuovo V8 by FPT??;https://www.autopareri.com/forums/topic/35526-nuovo-v8-by-fpt?&page=2#comments;15/10/2009 12:04;lukka1982;;Ecco la ovvia smentita... da autoblog.it ;Fiat;;negativo;;;;;;;;;;;;
Presentazione ufficiale Skyactiv-X;https://forum.quattroruote.it/threads/presentazione-ufficiale-skyactiv-x.119832/;13/12/2018 00:00;Ax-80;' ecco un video interessante...';Il video va visto bene ma il funzionamento ottimale che varia da tradizionale a miscela magra ecc ecc è interessante. Ricordo un muletto con un tablet su cui veniva spiegato in che range e modalità lavorasse il motore. Interessante il momento in cui viaggia praticamente per compressione come un diesel. ;Mazda;;positivo;;;;;;;positivo;;;;;
Thesis frontale ittico;https://www.autopareri.com/forums/topic/1532-thesis-frontale-ittico?&page=3#comments;23/08/2003 20:06;PANDA;;....eeeee ma quanto la fate lunga costa storia del medico... se il piccoletto mi ha chiesto che facevo nella vita e di cosa vivevo... cosa gli dovevo dire ? Col moralismo che gira in questo sito poi figurati dire una bugia. Non so poi con cosa si mantiene nella vita ...magari coi soldi di papà... ma lasciamo perdere via ! Scusatemi vedo che fate un grande uso di Internet e che conoscete molti forum ma ZONA FRANCA CHE e' ? Vorrei sapere da dove mi infiltro ;Lancia;Thesis;neutro;;;;;;;;;;;;
C4 Picasso CMP6 cambio strattona in partenza;https://forum.quattroruote.it/threads/c4-picasso-cmp6-cambio-strattona-in-partenza.59165/;27/12/2018 00:00;Giorgio C.;;Frizione che sta' dando segnali di usura. E' il 1.6 o il 2.0 ? Io avevo il 2.0 da 100KW e il problema si è presentato a 66.000 km. ;Citroen;C4;neutro;;;;neutro;;;;;;;neutro;
