Titolo;URL;Timestamp;User;(Testo Citato);TESTO;Costruttore;Modello;Sentiment;Brand;Interni;Esterni;Meccanica;Prestazioni;Consumi/Autonomia;Motore;Elettrico;Fuoristrada;Elettronica di Bordo;Manutenzione;Assistenza/Concessionari
Fiat Stilo - Design Story;https://www.autopareri.com/forums/topic/2689-fiat-stilo-design-story?&page=5#comments;17/08/2015 20:24;Abarth03;;":shock: Grande Giove ! E io che credevo che la MW prodotta fosse il peggio che si potesse mai vedere...invece qui vedo roba che all'epoca sarebbe risultata imbarazzante pure per i koreani ! Come avrebbe detto il buon Abatantuono : ""Questa non fa ssschifo: questa fa vomitaro ! "" ";Fiat;Stilo;negativo;negativo;;molto negativo;;;;;;;;;
Scénic XMod - Topic Ufficiale;https://forum.quattroruote.it/threads/sc%C3%A9nic-xmod-topic-ufficiale.14456/page-154;18/09/2010 00:00;darunia;"""Ciao a tutt a breve sarò anch'io possessore di una x-mod...ordinata il 29 luglio dovrebbe arrivare entro la prima decade di ottobre. Nel frattempo ho scaricato il manuale d'istruzioni e parrebbe che sul sedile centrale posteriore è possibile installare soltanto seggiolini con sistema isofi mentre nella versione a 7 posti anche quelli che vengano fissati con l'ausilio della cintura. Mi date conferma?...non vorrei essere costretto ad acquistare un nuovo seggiolino... Grazie mille""";Benvenuto X-modista che versione hai comprato ? Per quando è prevista la consegna. Su Myrenault a che fase è arrivata la tua X mod ? ;Renault;Scénic Xmod;neutro;;neutro;;;;;;;;;;
Jeep Renegade 2014;https://www.autopareri.com/forums/topic/56342-jeep-renegade-2014?&page=515#comments;14/11/2016 09:37;Jazzboy;;La cosa migliore sarebbe che l'auto venisse sanata in modo che chi prova entusiasmo lo possa mantenere e poi se la compri portandosi a casa un mezzo sano. ;Jeep;Renegade;negativo;;;;;;;;;;;negativo;
Cambio dsg 7 a secco. Hanno risolto i problemi?;https://forum.quattroruote.it/threads/cambio-dsg-7-a-secco-hanno-risolto-i-problemi.112429/page-4;23/04/2018 00:00;jpizzo;'hai capito male oggi è molto affidabile.';vorrei crederci ma nel forum della casa solo per Golf 7 ci sono 206 pagine di lamentele in cui il succo del discorso è: durata media frizioni 45-65.000 km il record è 132 k. ;Volkswagen;Golf 7;negativo;;;;negativo;;;;;;;negativo;
Rapporto affidabilità VW Golf V;https://www.bmwpassion.com/forum/threads/rapporto-affidabilit%C3%A0-vw-golf-v.41126/;09/02/2007 00:00;KILLER QUEEN;;Stavo dando un'occhiata al rapporto di affidabilità di QR compilato sulla base delle segnalazioni dei proprietari delle auto.Colpisce la scheda relativa alla Golf V voci come affidabilità e finiture da sempre al primo posto fra le qualità segnalate dai proprietari sono diventati le principali cause di malcontento. Soprattutto le finiture segnalate dalla maggior parte dei proprietari come scadenti.I primi segnali di calo li aveva dati la Golf IV soddisfacente per le finiture ma criticata per l'affidabilità. La Golf V in pratica vende per il buon nome accumulato dalle antenate e per i prezzi da hard discount ma vedo una grossa crisi di identità la Golf non è mai stata così.PS: curioso che anche per le BMW passando alle nuove generazioni la voce finitura sia divenuta una delle principali ragioni di malcontento da parte dei proprietari ;Volkswagen;Golf 5;negativo;;negativo;;;;;;;;;;
Ho comprato finalmente la porsche;http://www.porschemania.it/discus/messages/502416/656352.html?1371464138;08/06/2013 00:27;toby;;Grazie Veramente a tutti voi porsche = bel forum dedicato. SPETTACOLO ORA SONO ANCORA PI\xd9 CONTENTO DI POSSEDERE UNA PORSCHE;Porsche;;positivo;positivo;;;;;;;;;;;
Nuova Lybra quasi sicura su pianale 939;https://www.autopareri.com/forums/topic/9356-nuova-lybra-quasi-sicura-su-pianale-939?&page=5#comments;18/10/2004 10:30;Betha23;;"Io ho fatto una gamma realistica defiat una gamma ideale... c'è una bella differenza..... io preferisco sognare cose realizzabili però....... Cmq se la dovessero fare l'unic posto libero è Mirafiori.... o cassino ma dovrebbe essere già occupato con Large ""delta"" e Stilo nuova..... Ovviamente sto solo facendo ipotesi... :wink: ";Lancia;Lybra;neutro;;;;;;;;;;;;
Ri Lanciare Lancia?;https://forum.quattroruote.it/threads/ri-lanciare-lancia.118140/;27/08/2018 00:00;bumper morgan;"""Ricreduto non pens aveva aperto alla possibilità. Secondo me nel mondo delle auto a parte Musk nessun manager al momento pensa seriamente di fare dei profitti vendendo auto elettrich si fanno perchè si devono fare ma nessuno punta su quelle per davver nemmeno Vw che dopo il dieselgate ne ha parlato alla grande per superare la colossale figura di marmellata. L'idea di rilanciare un marchio in cris o addirittura estinto come Saa puntando su un'incognita come l'elettrico secondo me è un azzardo peggio della roulette russa...""";prima credeva nel metano e solo ultimamente si era convinto dell’ibrido ed elettrico. Ovviamente la pura elettrica per Fca come per tutte le altre case una versione elettrica sarebbe stata complementare alle versioni a benzina o ibride. Niente a che vedere con l’articolo in cui si parla di un rilancio Lancia solo elettrica. Questo é un sogno irrelizzabile. Pensa che Musk perde 30.000$ su ogni auto venduta. Temo che prima o poi venga giú il castello. ;Lancia;;negativo;;;;;;;;neutro;;;;
[Mai nate] Prototipi Fiat mai realizzati;https://www.autopareri.com/forums/topic/23021-mai-nate-prototipi-fiat-mai-realizzati?&page=70#comments;06/01/2014 11:03;PaoloGTC;;Mah a me sinceramente pare una Up ! Volkswagen solo leggermente camuffata. Poi cosa ci facesse camuffata in zona partenopea al seguito di una 500 in prova non lo so ;Fiat;;negativo;;;neutro;;;;;;;;;
MINI Coupé 2011 - R58;https://www.autopareri.com/forums/topic/43448-mini-coup%C3%A9-2011-r58?&page=2#comments;08/06/2011 22:25;Cibus;;Mi piace... Il lunotto.. mi ricorda quello dell'Alfa Gt ;Morris;Mini Coupé 2011 - R58;positivo;;;positivo;;;;;;;;;
TAGLIANDI: il topic definitivo contro i furbetti del quartierino....;https://forum.quattroruote.it/threads/tagliandi-il-topic-definitivo-contro-i-furbetti-del-quartierino.21301/page-41;22/12/2014 00:00;rosberg;;Tagliando dei 30 mila km per la Nuova Octavia RS: 300 euro iva inclusa ( comprensivo di sconto Skoda Supercard ) . ;Skoda;Octavia RS;neutro;;;;;;;;;;;;
Legge di stabilità..ecco perché Renzi si definisce rottamatore;https://www.bmwpassion.com/forum/threads/legge-di-stabilit%C3%A0-ecco-perch%C3%A9-renzi-si-definisce-rottamatore.243850/page-53;;iceoair;;Anche a me con Chrome ;;;neutro;;;;;;;;;;;;
Opel ADAM ROCKS 2014;https://www.autopareri.com/forums/topic/54395-opel-adam-rocks-2014?&page=2#comments;19/02/2014 11:02;el Nino;;Toglietemi una curiosità: è nata una nuova moda a me sconosciuta ? ? Quelle protuberanze alla sommità dei passaruota a che servono ? Ce li ha la RR Evoque ce li aveva la C4 Cactus concept ( non ricordo se la versione di serie li abbia mantenuti ) e ce li ha questa Adam. Capirei se fossero per una ipotetica versione USA spec per ospitare le luci laterali ma a parte che credo siano in un punto vietato dalla normativa ( dovrebbero stare più verso muso e coda al punto che BMW e MB di solito le integrano nei fari ) non mi risulta che la Adam varcherà i confini americani. E' solo una moda come i finestrini apribili a compasso ? ? el Nino ;Opel;adam rocks ;negativo;;;negativo;;;;;;;;;
Porsche: la Panamera è il modello più venduto negli USA;http://www.porschemania.it/discus/messages/453055/508174.html?1273779183;13/05/2010 18:05;bricchi;;.......e mi pare giusto ditemi che ci fate con una 911 sulle freeways........ Un saluto CArlo;Porsche;911;neutro;;;;;;;;;;;;
Alfa Romeo Giulia 2016;https://www.autopareri.com/forums/topic/60616-alfa-romeo-giulia-2016?&page=1546#comments;25/01/2019 17:10;tonyx;;si ok dalle mie parti gira una giulia 150cv AT8 con gli alogeni gialli che fanno un po tristezza però rinunciare a quella notevole riduzione rispetto alla 200cv at8 businees per via dei fare mi sembra assurdo ha pure i bixeno e l' iva in belgio è 21% ;Alfa Romeo;Giulia;negativo;;;neutro;;;;;;;;;
Jeep Renegade 2014;https://www.autopareri.com/forums/topic/56342-jeep-renegade-2014?&page=479#comments;09/03/2015 11:20;lucadj;;Sulle motorizzazioni non ho chiesto visto io sono interessato unicamente alla trailhawk 2.0 diesel AT9. Degli optional sopracitati mi interessa unicamente il MySky ma ho elencato tutto per completezza delle informazioni. ;Jeep;grand cherokee trailhawk;positivo;positivo;;;;;;;;;neutro;;
E c'è chi dice che il Forum sia inutile.;https://forum.quattroruote.it/threads/e-c%C3%A8-chi-dice-che-il-forum-sia-inutile.110859/;09/06/2017 00:00;pilota54;'Ebbravi Marco e Alessandr se non sbaglio';Quoto. ;;;neutro;;;;;;;;;;;;
Fiat Doblò 2010;https://www.autopareri.com/forums/topic/35914-fiat-dobl%C3%B2-2010;16/11/2009 11:32;Touareg 2.5;;Io ( mio parere ) trovo terribile il rosso.. lo fa sembrare tamarro. ;fiat;doblò;negativo;;;negativo;;;;;;;;;
Jeep Renegade 2014;https://www.autopareri.com/forums/topic/56342-jeep-renegade-2014?&page=379#comments;23/01/2015 21:58;nightrider;;leleputti....................TREDICI A 130 ? ? ? ? ? ? ? ? Permettimi....ma ......non ci credo. io con il 140 man a 130 faccio dieci secchi a 140 9 vuoi dirmi che AT9 con 30 cv in più.....consuma il 30% in meno ? ? ? ? naaaaaaaa ! ! ! ! ! ! ti spiace dirmi a quanti rpm sei a 130 ? ? ? ;;;neutro;;;;;;neutro;;;;;;
Consigli su golf 7;https://forum.quattroruote.it/threads/consigli-su-golf-7.114742/page-3;27/02/2018 00:00;renatom;"""Credimi Renato io non perdono nulla ai tedeschi e questa è l' ultima loro vettura che compro. Sia ben chiar non critico il fatto che una vettura non possa presentare qualche problem ma quando l' assistenza fa orecchie da mercant allora sì che perdo la pazienza.""";Ne hai comprate tre nonostante le prime due fossero problematiche ! ;Volkswagen;golf;negativo;;;;;;;;;;;;
E' possibile cambiare l'ordine di acquisto auto ordinata mesi fa?;https://forum.quattroruote.it/threads/e-possibile-cambiare-lordine-di-acquisto-auto-ordinata-mesi-fa.103109/;19/03/2016 00:00;SUBmARine U-14;;Chiedi al concessionario ;;;neutro;;;;;;;;;;;;neutro
