Titolo,URL,Timestamp,User,(Testo Citato),TESTO,Costruttore,Modello,Brand,Interni,Esterni,Meccanica,Prestazioni,Consumi/Autonomia,Motore,Elettrico,Fuoristrada,Elettronica di Bordo,Manutenzione,Assistenza/Concessionari
...un cimitero di 356,http://www.porschemania.it/discus/messages/10550/538214.html?1293550542,2010-12-27 20:47:00,goffredo,,altre... ,,,,,,,,,,,,,,
[RISOLTO] Le City car per il futuro? Il 10% magari cosi'!,https://www.autopareri.com/forums/topic/16045-risolto-le-city-car-per-il-futuro-il-10-magari-cosi,2005-10-09 04:11:20,frallog,,"Alternativamente ci sarebbero da studiare lenti realizzate a mezzo di ""PROIETTORI DI PURO CAMPO MAGNETICO"". Esse sono state realizzate sperimentalmente ma sai quanto costa realizzarle e industrializzarle..... Regards Francesco 8 ) ) ) ",,,,,,,,,,,,,,
Ferrari 812 Superfast,https://forum.quattroruote.it/threads/ferrari-812-superfast.108841/,2017-02-16 00:00:00,Baron89,,"Io al posteriore ci vedo la RX-Vision sagomata con l'accetta.... <img alt=""Mazda-RX-Vision-07.jpg"" class=""bbCodeImage LbImage"" src=""https://forum.quattroruote.it/attachments/mazda-rx-vision-07-jpg.2142/""/> <img alt=""ferrari-812-superfast_4.jpg"" class=""bbCodeImage LbImage"" src=""https://forum.quattroruote.it/attachments/ferrari-812-superfast_4-jpg.2143/""/>",,,,,,,,,,,,,,
Test EuroNCAP: risultati negativi per Fiat Panda e Jeep Wrangler,https://www.autopareri.com/forums/topic/66419-test-euroncap-risultati-negativi-per-fiat-panda-e-jeep-wrangler?&page=31#comments,2018-12-17 09:20:36,tonyx,,ecco... la teoria del complotto contro fca sta sempre più acquisendo prove 😑 ,,,,,,,,,,,,,,
Panamera - Porsche fa tutto da sola,https://www.bmwpassion.com/forum/threads/panamera-porsche-fa-tutto-da-sola.21979/,2004-07-01 00:00:00,Micky,'quella foto è una vita che gira...',http://www.repubblica.it/2006/c/motori/marzo2006/panameraporsche/panameraporsche.html ,,,,,,,,,,,,,,
Grande Punto,https://www.bmwpassion.com/forum/threads/grande-punto.24725/,2006-04-19 00:00:00,fr4nk,,http://www.fiat.it/cgi-bin/pbrand.d...gaddhkdidfhlcefecejgdfiidgnj.0&modelKey=199L# Cosa ne pensate del diesel rispetto al prezzo alle prestazioni e alla qualità dei materiali ? fr4nk ,,,,,,,,,,,,,,
Vendite: c'e' uno spazio incredibile,https://forum.quattroruote.it/threads/vendite-ce-uno-spazio-incredibile.110309/,2017-05-05 00:00:00,mg27,,lo stelvio ha fatto più o meno gli stessi numeri ma in europa a sentire marchionne...per la fascia di prezzo se fosse vero sarebbe comunque un buon risultato incoraggiante... https://www.investireoggi.it/motori/alfa-romeo-stelvio-gia-superati-10-mila-ordini-europa/ Ma scusa arizona77 come mai hai creato questo topic nella sezione Alfa non sarebbe meglio la vw o zona franca ? Probabilmente c'è qualche nesso con le vendite alfa ho supposto ecco xchè ho collegato il link dello stelvio... ,,,,,,,,,,,,,,
Forester 2016,https://forum.quattroruote.it/threads/forester-2016.101541/page-6,2016-06-17 00:00:00,mika69,'resta il fatto che la casa prescrive di catenare solo le anterior ma se le posteriori pattinano entra il giunto viscoso a slittamento limitat e va ben ma non si usura?',Credo che sull'anteriore siano sufficienti in tutti i casi. La velocità adeguata fa il resto. Se proprio le condizioni sono da Polo Nord allora magari si mettono anche dietro....ma se consideriamo che già senza completamente si fa quasi tutto immagino che sia un'eventualità piuttosto remota. ,,,,,,,,,,,,,,
[BRA] Fiat Toro 2016,https://www.autopareri.com/forums/topic/59576-bra-fiat-toro-2016?&page=15#comments,2016-01-20 18:50:17,kamal,,"io ancora non ho capito che ci dovete fare con uno schermo da 22"" in auto... bravo ! la scorsa settimana ho guidato una tesla.... e non ho capito quel grandissimo schermo.... non serve ! ",,,,,,,,,,,,,,
BMW SERIE 8 2019,https://forum.quattroruote.it/threads/bmw-serie-8-2019.110678/,2017-05-28 00:00:00,Lenny_84,,Il doppio rene frontale così grosso non mi piace tantissimo così come trovo forse troppo massicci i gruppi ottici posteriori. Il volante sembra un po' un cestello della lavatrice. Per il resto ho finito le obiezioni auto BELLISSIMA...e finalmente con qualcosa di nuovo da dire sul piano estetico. Mi aspetto una meccanica altrettanto strepitosa brava BMW. ,,,,,,,,,,,,,,
Opel Insignia Facelift 2013 [Sedan Sports Tourer],https://www.autopareri.com/forums/topic/51934-opel-insignia-facelift-2013-sedan-sports-tourer?&page=3#comments,2013-06-12 15:43:30,AndreaB,,Mah.... la preferivo prima.... poi quell'alabarda spaziale là dietro...... ,,,,,,,,,,,,,,
Colonnine Loginet Fast Nissan Kendo Motors Reggio Emilia RE Via Fratelli Cervi 79,https://www.forumelettrico.it/forum/colonnina-kendo-motors-fast-via-fratelli-cervi-79-reggio-emilia-re-t1575-10.html?sid=b120d3d347545697afc4468b08a6588f&sid=b120d3d347545697afc4468b08a6588f,2018-06-30 18:22:00,marco,,Pero è possibile selezionare solo il connettore CHAdeMO e non l'altra colonnina con la Tipo2: dice poi costo ricarica 0 00€.Che senso ha quindi avviare con l'app se poi è gratis ? Forse è in ottica futura quando metteranno una tariffa ? ,,,,,,,,,,,,,,
Alfa GT Face Lift,https://www.autopareri.com/forums/topic/14670-alfa-gt-face-lift?&page=28#comments,2006-02-05 21:26:01,Matteo B.,,a prestazioni pure hai un 3.2 serio ( cioè realmente sportivo ) che non riesce a prevalere su un 2l pur potente ma con poca potenza in basso e un piccolo 1.3 wankel che come minimo gli cede 15-20cv...che se parliamo di corse equivale a un 2.6 alternativo ( ciè un'alltra categoria ) ......fai un pò tu E' magari un pò più preso per i capelli ma vale lo stesso discorso per s2000 se non dipende da scelte di chassis questo.......mah... ,,,,,,,,,,,,,,
Civic Type-R '07 (Topic Ufficiale),https://www.autopareri.com/forums/topic/22225-civic-type-r-07-topic-ufficiale,2007-02-19 16:01:51,albiz94,,"http://www.motorcities.com/contents/06/2007-Honda-Civic-Type-R-Sneak-Peek_06BN8271819084.html Ecco un po di immagini della nuova ""pepata"" della casa giapponese. l'unico difetto a mio parere: ""soli"" 200 CV quando per dire la Astra OPC ne ha 240 però l'estetica li ripaga tutti e 40 ! ",,,,,,,,,,,,,,
