Titolo,URL,Timestamp,User,(Testo Citato),TESTO,Costruttore,Modello,Brand,Interni,Esterni,Meccanica,Prestazioni,Consumi/Autonomia,Motore,Elettrico,Fuoristrada,Elettronica di Bordo,Manutenzione,Assistenza/Concessionari
Parliamo di V12....,https://www.bmwpassion.com/forum/threads/parliamo-di-v12.32013/,2006-06-25 00:00:00,henry_z4,,"Parliamo un pò di questo frazionamento ""nobile"".Attualmente i costruttori che hanno a listino almeno un 12 cilindri sono:-Aston Martin-Audi-Bentley-BMW-Ferrari-Maybach-Mercedes-Rolls Royce-Volkswagen-ToyotaQuali altri produttori si sono cimentati in prototipi/vetture di serie con il nobile frazionamento ? Ad esempio ultimamente la Peugeot ha lanciato un prototipo V12 sia a benzina che a diesel. La Hyundai e la Lexus metteranno in commercio una berlina V12 entro il 2008.. ",,,,,,,,,,,,,,
Fregato? Sostituzione gomme presso concessionario bmw,https://www.bmwpassion.com/forum/threads/fregato-sostituzione-gomme-presso-concessionario-bmw.179736/,2012-11-21 00:00:00,Galaxy,'Hai la fattura di vendita di tale pneumatico da parte di BMW?',"Sono nuovo del forum...Pochi mesi fa acquisto il mio BMW 123D MSport ( è un novembre 2008 ) presso concessionario ufficiale BMW. Concordo col venditore la sotituzione inclusa nel prezzo pattuito degli pneumatici anteriori perché usurati. Ritiro l'auto verifico che abbiano cambiato gli pneumatici di che marca sono ( diversi anteriore e posteriore ? Sì mi dicono tanto sono misure diverse...va bene anche se non mi entusiasma ) e le misure.Percorro poche migliaia di km e mi ritrovo 2 settimane fa all'appuntamento per la revisione ( sono passati i primi 4 anni dall'immatricolazione ) che mi scade a novembre 2012. E qui l'amara sopresa....""L'auto non può passare la revisione perché monta pneumatici con codice di velocità non corretto..."". Infatti la mia auto mi mostrano monta sia ant che post penumatici con codice velocità ""V"" anziché ""W"" come prescritto dal costruttore e indicato sul libretto. Non ci sono dubbi. Non posso montare penumatici con codice ""V"" ( o inferiore ovviamente ) . ""Chi le ha montate mi chiedono presso il centro revisione ? "". ""Il mio concessionario BMW..."" rispondo. Vi lascio immaginare la faccia stupita del tipo. E la mia. Mi sono fidato del concessionario ( BMW mica TATA ) sbagliando e sentendomi uno stupido ( oltre che sentendomi preso in giro ) . Per essere molto chiaro: io sono uscito dal concessionario BMW con quelle gomme con codice sbagliato e non le ho mai più toccate. Anzi percorrendo pochi km all'anno con quell'auto contavo di non pensare alle gomme per almeno altri 2 o 3 anni....Contatto il concessionario. ""Impossibile ! "" mi rispondono ovviamente. La loro proposta ? ""Ti cambiamo solo le gomme anteriori quelle dietro te le paghi tu per la modica cifra di 400 euro..."". Stiamo scherzando vero ? Io acquisto un'auto in fiducia da un conc BMW con tanto di garanzia originale più premium selection 24 mesi. E questi non verificano che l'auto rispetti le caratteristiche di omologazione per poter circolare ? Dove sta la serietà ? In questi mesi circolando tranquillamente sarei stato passibile di sanzioni ritiro libretto di circolazione eventuali problemi con l'assicurazione in caso di incidente e così via. Ora mi trovo a non poter usare l'auto se non provvedendo a sostituire tutte le gomme a mie spese oppure accettando una proposta del conce che definire ""non equa"" è un eufemismo. Secondo il conce le gomme costano 1419 euro di listino GoodYear runflat. Certo di listino ! Basta farsi fare qualche preventivo da qualche gommista per capire che con 750 euro ca. le gomme mi verrebbero sostituite e montate ( stessa marca e modello ) . Non solo le 2 anteriori sono praticamente nuove e quelle post all'80%. Le potrei rivendere.A qualcuno è mai successo nulla di simile ? Cosa ne pensate e cosa mi suggerite ? Io mi sto muovendo col mio avvocato. Vedremo... ",,,,,,,,,,,,,,
Mazda 6 Wagon 2012,https://www.autopareri.com/forums/topic/48561-mazda-6-wagon-2012?&page=51#comments,2014-08-20 20:07:54,Wilhem275,,Uno dei problemi dei cambi automatici è che non permettono di sfruttare il freno motore appieno: di fatto comandi il rallentamento frenando e poi il cambio segue a scalare solo perché vede scendere i giri e così viene sfruttato il motore solo ai regimi più bassi ( cioé i più inutili per rallentare ) . Però il freno motore è probabilmente la componente che più aiuta ad abbassare il consumo ( spesso in modo drastico ) soprattutto se si scala con anticipo rispetto alle situazioni del traffico. Ti consiglierei di abituarti a comandare manualmente le scalate. Io così ottenni risultati sensibilmente migliori ,,,,,,,,,,,,,,
Quale Stelvio acquistare?,https://forum.quattroruote.it/threads/quale-stelvio-acquistare.117465/page-8,2018-08-03 00:00:00,Alosqualo,,La Stelvio é stata ordinata da questo mio parente. Colore: nero. Motore: ? ? ? non me lo ha detto..sorpresa. Consegna inizio settembre. Vi terrò aggiornati tanto per concludere il topic. ,,,,,,,,,,,,,,
Officina BMW DOC in alternativa ai conce Zona Milano e dintorni,https://www.bmwpassion.com/forum/threads/officina-bmw-doc-in-alternativa-ai-conce-zona-milano-e-dintorni.56648/page-2,2007-11-08 00:00:00,filippot,'Li conosc sono gente onesta e abbastanza preparat non posso esprimermi di più tecnicament perchè a parte essere amici non ho mai avuto il piacere di approfondire conoscenze tecniche particolari. Il tipo si chiama Luca. Christia Ferraris non è ormai più Romeo da molto temp sono molto conosciut ma..',Penso che scarterò di andare nei conce BMW.Almeno un caso mi è capitato in cui volevano sostituirmi i dischi ( che il mio meccanico mi ha assicurato fossero NUOVI ) invece dei SOLI silent block. ( effettivamente da sostituire ) Ergo non ragaliamo soldi. ( tanto l'auto è del 2003 ) ,,,,,,,,,,,,,,
Auto a guida autonoma: sviluppi problemi e potenzialità,https://www.autopareri.com/forums/topic/52742-auto-a-guida-autonoma-sviluppi-problemi-e-potenzialit%C3%A0?&page=24#comments,2015-09-03 07:23:08,cooter,,"è un problema a cui avevo pensato percorrendo strade con elevata presenza di auto di turisti stranieri che rispetto a noi hanno comportamenti più rispettosi del codice ad esempio rallentano se trovano un ciclista e non lo superano se la corsia opposta non è libera. Oppure si fermano per far attraversare pedoni sulle strisce Rispettano i limiti di velocità anche dove sono ridicoli perchè magari sono rimasti i segnali ""temporanei"" di un cantiere stradale ormai chiuso. Il guidatore che segue non si aspetta questi rallentamenti e tampona o innesca incidenti. Penso che finchè le auto autonome non raggiungeranno una % rilevante del totale delle auto circolanti il numero di incidenti non diminuirà anzi. Quindi non credo che sia ipotizzabile un alleggerimento dovuto all'assenza di strutture e dispositivi di protezione almeno per i primi anni. PS esempio riportato da Quattroruote: cosa dovrebbe fare un veicolo a guida autonoma se si trovasse nella situazione di dover scegliere tra investire un pedone o fare un frontale con un altro veicolo ? ",,,,,,,,,,,,,,
Provocazione per gli esterofili...,https://www.autopareri.com/forums/topic/12512-provocazione-per-gli-esterofili,2005-04-15 09:58:22,stev66,,Pero' non dimentichiamo che il nostro export finisce in massima parte in Europa. Noi compriamo macchine tedesche i tedeschi scarpe e vestiti italiani. ,,,,,,,,,,,,,,
Fiat Bravo 5 stelle Euroncap,https://www.autopareri.com/forums/topic/22400-fiat-bravo-5-stelle-euroncap?&page=2#comments,2007-02-28 14:50:21,nucarote,,Su quella che finisce in pole ovviamente all'indirizzo indicato da Mac. Mah due ipotesi. 1 ) Preserie. 2 ) Negli altri mercati ritarderanno la presentazione del nuovo logo. ,,,,,,,,,,,,,,
Alfa Romeo 4C 2013,https://www.autopareri.com/forums/topic/56324-alfa-romeo-4c-2013?&page=113#comments,2013-02-25 11:41:11,lelesch81,,il passeggero è fisso.. penso che il guidatore sia regolabile schienale e volante... Qualcuno sa assicurarmi l'obbligo del ServoSterzo per il mercato UE ? ? ,,,,,,,,,,,,,,
Audi A5 2016,https://www.autopareri.com/forums/topic/61358-audi-a5-2016?&page=12#comments,2016-06-04 12:11:14,Aymaro,,la italianissima 500 e tutte le ultime fiat sono state disegnate da un austriaco... ,,,,,,,,,,,,,,
ROTTURA CATENA DISTRIBUZIONE SU CORSA  1.3 CDTI,https://forum.quattroruote.it/threads/rottura-catena-distribuzione-su-corsa-1-3-cdti.10705/,2009-08-26 00:00:00,Elvis02,,Prova a segnalare il tuo problema a redazione@quattroruote.it. Se ( a differenza della cinghia ) la catena non viene controllata periodicamente vuol dire che non necessita di manutenzione in quanto praticamente indistruttibile. Quindi la catena della tua auto era difettosa e la riparazione deve essere eseguita in garanzia. ,,,,,,,,,,,,,,
